bgg_id,artists
1,"Harald Lieske, Low-Exp Artist"
2,Low-Exp Artist
3,Franz Vohwinkel
4,Low-Exp Artist
5,"Peter Whitley, Scott Okumura"
6,Low-Exp Artist
7,"(Uncredited), Low-Exp Artist"
8,Low-Exp Artist
9,Doris Matthäus
10,"Doris Matthäus, Alan R. Moon"
11,"Harald Lieske, Franz Vohwinkel, Doris Matthäus, Alexander Jung, Andrea Boekhoff, Björn Pertoft, Fréderic Bertrand, Guido Hoffmann, Johann Rüttinger, Klemens Franz, Marek Bláha, Markus Wagner, Oliver Freudenreich, Low-Exp Artist"
12,"Franz Vohwinkel, Allison Kline, Ian O'Toole, Low-Exp Artist"
13,"Harald Lieske, Franz Vohwinkel, Jason Hawkins, Marion Pott, Michael Menzel, Michaela Kienle, Pete Fenlon, Stephen Graham Walsh, Tanja Donner, Volkan Baga, Low-Exp Artist"
14,"John Kovalic, Lüders & Baran, Low-Exp Artist"
15,"Anders Jeppsson, John Blanche, Low-Exp Artist"
16,"Marion Pott, Low-Exp Artist"
17,"John Kovalic, Brian Snoddy, Cheyenne Wright, Gerald Brom, Larry Elmore, Michelle Nephew, Phil Foglio, Low-Exp Artist"
18,"Franz Vohwinkel, Peter Whitley, Phil Foglio, Daniel Gelon, Peter Bergting, Low-Exp Artist"
19,"Franz Vohwinkel, Low-Exp Artist"
20,Pascal Trigaux
22,"Chris White (I), Randall C. Reed, Richard Hamblen, Low-Exp Artist"
23,"David A. Trampier, David C. Sutherland, III, Kenneth Rahman"
24,Low-Exp Artist
25,"Christian T. Petersen, Low-Exp Artist"
26,"Kurt Miller, Stephen Langmead"
28,"Dan Smith, Dave Martin, Frank Gerwin, Jeffrey D. George, Lar DeSouza, Low-Exp Artist"
29,Low-Exp Artist
30,Low-Exp Artist
31,Chris Baker
32,"Dahee Lee, Low-Exp Artist"
33,Low-Exp Artist
34,"David Martin (II), William H. Keith, Jr."
35,Christos Achilleos
36,"Franz-Josef Schulte, Linda Bound"
37,Low-Exp Artist
38,Low-Exp Artist
39,"Klemens Franz, Atelier Wilinski, Heiko Günther, Klaus Wilinski, Walter Pepperle, Low-Exp Artist"
40,"Doris Matthäus, Stephen Graham Walsh, Bascu, Christine Conrad, Tom Thiel, Low-Exp Artist"
41,Low-Exp Artist
42,"Oliver Freudenreich, Alexander Bradley"
43,"(Uncredited), Bildgården AB, Design Edge, Thierry Masson, Low-Exp Artist"
44,"Franz Vohwinkel, David Cherry, Dominique Ehrhard, Vincent Dutrait"
45,"Franz Vohwinkel, Mathieu Leyssenne"
46,Franz Vohwinkel
47,Franz Vohwinkel
48,"Franz Vohwinkel, Michaela Kienle, Vincent Dutrait, Anke Pohl, Claus Stephan, Thilo Rick"
49,Franz Vohwinkel
50,"Chris Baker, Dave Andrews, John Sibbick, Kevin Walker, Martin McKenna, Paul Bonner, Russ Nicholson, Stephen Tappin, Tony Ackland, Low-Exp Artist"
52,"Franz Vohwinkel, Christophe Swal, Mariusz Gandzel, Paul Mafayon"
53,Low-Exp Artist
54,(Uncredited)
55,"Doris Matthäus, David A. Trampier, Claus Stephan, Charles Elliot (I), Kevin Wilkins, Martin Hoffmann, Richard A. Johnson, Tom Wham, Walter Velez, Low-Exp Artist"
56,Franz Vohwinkel
57,Cyril Saint Blancat
58,Franz Vohwinkel
59,"Dave Andrews, Aly Morrison, Gary Chalk, Low-Exp Artist"
60,"Arnold Hendrick, Low-Exp Artist"
61,"Greg Cervall, Low-Exp Artist"
62,Andreas Steiner
63,Low-Exp Artist
64,"Kurt Miller, Mark Simonitch, Low-Exp Artist"
66,Franz Vohwinkel
