bgg_id,artist
1,Harald Lieske
1,Low-Exp Artist
2,Low-Exp Artist
3,Franz Vohwinkel
4,Low-Exp Artist
5,Peter Whitley
5,Scott Okumura
6,Low-Exp Artist
7,(Uncredited)
7,Low-Exp Artist
8,Low-Exp Artist
9,Doris Matthäus
10,Doris Matthäus
10,Alan R. Moon
11,Harald Lieske
11,Franz Vohwinkel
11,Doris Matthäus
11,Alexander Jung
11,Andrea Boekhoff
11,Björn Pertoft
11,Fréderic Bertrand
11,Guido Hoffmann
11,Johann Rüttinger
11,Klemens Franz
11,Marek Bláha
11,Markus Wagner
11,Oliver Freudenreich
11,Low-Exp Artist
12,Franz Vohwinkel
12,Allison Kline
12,Ian O'Toole
12,Low-Exp Artist
13,Harald Lieske
13,Franz Vohwinkel
13,Jason Hawkins
13,Marion Pott
13,Michael Menzel
13,Michaela Kienle
13,Pete Fenlon
13,Stephen Graham Walsh
13,Tanja Donner
13,Volkan Baga
13,Low-Exp Artist
14,John Kovalic
14,Lüders & Baran
14,Low-Exp Artist
15,Anders Jeppsson
15,John Blanche
15,Low-Exp Artist
16,Marion Pott
16,Low-Exp Artist
17,John Kovalic
17,Brian Snoddy
17,Cheyenne Wright
17,Gerald Brom
17,Larry Elmore
17,Michelle Nephew
17,Phil Foglio
17,Low-Exp Artist
18,Franz Vohwinkel
18,Peter Whitley
18,Phil Foglio
18,Daniel Gelon
18,Peter Bergting
18,Low-Exp Artist
19,Franz Vohwinkel
19,Low-Exp Artist
20,Pascal Trigaux
22,Chris White (I)
22,Randall C. Reed
22,Richard Hamblen
22,Low-Exp Artist
23,David A. Trampier
23,"David C. Sutherland, III"
23,Kenneth Rahman
24,Low-Exp Artist
25,Christian T. Petersen
25,Low-Exp Artist
26,Kurt Miller
26,Stephen Langmead
28,Dan Smith
28,Dave Martin
28,Frank Gerwin
28,Jeffrey D. George
28,Lar DeSouza
28,Low-Exp Artist
29,Low-Exp Artist
30,Low-Exp Artist
31,Chris Baker
32,Dahee Lee
32,Low-Exp Artist
33,Low-Exp Artist
34,David Martin (II)
34,"William H. Keith, Jr."
35,Christos Achilleos
36,Franz-Josef Schulte
36,Linda Bound
37,Low-Exp Artist
38,Low-Exp Artist
39,Klemens Franz
39,Atelier Wilinski
39,Heiko Günther
39,Klaus Wilinski
39,Walter Pepperle
39,Low-Exp Artist
40,Doris Matthäus
40,Stephen Graham Walsh
40,Bascu
40,Christine Conrad
40,Tom Thiel
40,Low-Exp Artist
41,Low-Exp Artist
42,Oliver Freudenreich
42,Alexander Bradley
43,(Uncredited)
43,Bildgården AB
43,Design Edge
43,Thierry Masson
43,Low-Exp Artist
44,Franz Vohwinkel
44,David Cherry
44,Dominique Ehrhard
44,Vincent Dutrait
45,Franz Vohwinkel
45,Mathieu Leyssenne
46,Franz Vohwinkel
47,Franz Vohwinkel
48,Franz Vohwinkel
48,Michaela Kienle
48,Vincent Dutrait
48,Anke Pohl
48,Claus Stephan
48,Thilo Rick
49,Franz Vohwinkel
50,Chris Baker
50,Dave Andrews
50,John Sibbick
50,Kevin Walker
50,Martin McKenna
50,Paul Bonner
50,Russ Nicholson
50,Stephen Tappin
50,Tony Ackland
50,Low-Exp Artist
52,Franz Vohwinkel
52,Christophe Swal
52,Mariusz Gandzel
52,Paul Mafayon
53,Low-Exp Artist
54,(Uncredited)
55,Doris Matthäus
55,David A. Trampier
55,Claus Stephan
55,Charles Elliot (I)
55,Kevin Wilkins
55,Martin Hoffmann
55,Richard A. Johnson
55,Tom Wham
55,Walter Velez
55,Low-Exp Artist
56,Franz Vohwinkel
57,Cyril Saint Blancat
58,Franz Vohwinkel
59,Dave Andrews
59,Aly Morrison
59,Gary Chalk
59,Low-Exp Artist
60,Arnold Hendrick
60,Low-Exp Artist
61,Greg Cervall
61,Low-Exp Artist
62,Andreas Steiner
63,Low-Exp Artist
64,Kurt Miller
64,Mark Simonitch
64,Low-Exp Artist
66,Franz Vohwinkel
67,Charles Kibler
67,Dale Sheaffer
67,Ed Dovey
67,Guillaume Rohmer
67,Rodger B. MacGowan
68,Marcel-André Casasola Merkle
69,Jo Hartwig
69,Oliver Schlemmer
69,Reinhard Horst
70,John Kovalic
71,Brian Snoddy
71,James Ernest
71,Val Mayerik
71,Low-Exp Artist
72,Kurt Miller
72,Mark Simonitch
73,Eric Hotz
74,Eric Hotz
76,Eric Hotz
77,Eric Hotz
78,Eric Hotz
78,Low-Exp Artist
80,Eric Hotz
81,Franz Vohwinkel
81,Michael Menzel
81,Alessandra Cimatoribus
82,Mark Simonitch
82,Rodger B. MacGowan
84,Mark Simonitch
84,Charles Kibler
84,Rodger B. MacGowan
84,Terry Leeds
85,Doris Matthäus
86,Franz Vohwinkel
87,Doris Matthäus
90,Low-Exp Artist
92,Low-Exp Artist
93,Low-Exp Artist
94,Chris White (I)
94,David A. Trampier
94,Kurt Miller
94,Kenn Nishiuye
94,Mike Doyle (I)
96,Kurt Miller
96,Cyrille Daujean
96,Keith Parkinson
96,Low-Exp Artist
97,Christine Conrad
97,Virginijus Poshkus
98,lu'cifer
99,Claus Stephan
100,Harald Lieske
100,Low-Exp Artist
101,Franz Vohwinkel
101,William O'Connor
102,Dominique Ehrhard
102,John Goodenough
102,Samuel R. Shimota
102,Scott Nicely
102,Tomasz Jedruszek
