bgg_id,category
1,Strategy
2,Strategy
3,Strategy
5,Strategy
7,Abstract
9,Strategy
10,Family
11,Family
12,Strategy
13,Strategy
13,Family
14,Strategy
14,Family
15,Thematic
15,Strategy
16,Strategy
17,Card games
18,Thematic
18,Strategy
19,Family
20,Strategy
22,Thematic
22,Strategy
23,Thematic
23,War
24,Thematic
25,Thematic
25,War
26,Strategy
27,War
28,Thematic
28,Strategy
30,Thematic
31,Thematic
32,Abstract
34,Thematic
36,War
37,War
40,Thematic
40,War
41,Family
42,Strategy
43,Strategy
44,Family
45,Family
45,Party
46,Strategy
47,Strategy
48,Strategy
49,Family
50,Family
51,Abstract
52,War
54,Strategy
57,Strategy
58,Thematic
58,War
59,Strategy
60,Strategy
61,Family
61,Abstract
62,Thematic
63,War
64,Strategy
64,War
66,Strategy
67,War
68,War
69,Abstract
70,Strategy
70,Family
71,Strategy
72,Strategy
73,Strategy
73,Family
74,Party
75,Party
76,Strategy
77,War
78,War
79,War
82,War
83,War
84,War
85,War
87,War
88,Strategy
88,Abstract
89,War
90,Family
91,War
93,Strategy
94,Strategy
95,Family
96,Thematic
97,Thematic
97,War
98,War
99,Thematic
99,War
101,Family
102,Strategy
102,Family
103,Thematic
103,War
104,Strategy
105,Strategy
105,Family
106,Strategy
106,Family
108,Abstract
109,Strategy
109,Family
110,Family
111,Strategy
112,Strategy
115,Strategy
115,Family
116,Family
117,Abstract
118,Strategy
119,Strategy
119,Abstract
120,Family
121,Thematic
121,Strategy
122,Strategy
124,Strategy
125,Family
126,Party
127,War
128,Family
128,Abstract
130,Strategy
132,Strategy
133,Strategy
134,Family
135,Strategy
137,Party
139,Strategy
139,Party
140,Family
140,Party
141,Strategy
141,Family
142,Strategy
145,Strategy
145,Family
146,Strategy
146,Family
147,Strategy
150,Family
150,Party
152,Strategy
153,Family
154,Strategy
155,Strategy
155,Family
156,Family
157,Strategy
162,Thematic
162,War
163,Party
164,Thematic
164,Family
165,Abstract
167,Strategy
168,Strategy
169,Family
170,Thematic
170,Family
171,Abstract
172,Family
175,Family
176,Thematic
176,Family
178,Abstract
179,Abstract
180,Abstract
181,War
181,Family
182,Family
183,Abstract
185,Family
188,Abstract
189,Strategy
189,Family
190,Family
192,Family
193,Family
194,Thematic
196,Thematic
196,Strategy
198,Family
199,Family
200,Strategy
200,Family
201,Abstract
202,Strategy
202,War
204,Strategy
214,Family
215,Strategy
216,Abstract
217,Family
218,Strategy
218,Family
220,Family
