bgg_id,designer
1,Karl-Heinz Schmiel
2,"G. W. ""Jerry"" D'Arcey"
3,Reiner Knizia
4,Low-Exp Designer
5,Sid Sackson
6,Jean du Poël
7,Low-Exp Designer
8,Martin Wallace
9,"Richard Ulrich, Wolfgang Kramer"
10,Alan R. Moon
11,Uwe Rosenberg
12,Reiner Knizia
13,Klaus Teuber
14,Reinhard Staupe
15,"Bill Eberle, Bill Norton, Jack Kittredge, Peter Olotka"
16,Stefan Dorra
17,James Ernest
18,Richard Garfield
19,Klaus Teuber
20,Low-Exp Designer
21,Low-Exp Designer
22,Richard Hamblen
23,"Glenn Rahman, Kenneth Rahman"
24,Christian T. Petersen
25,Christian T. Petersen
26,"Don Greenwood, Low-Exp Designer"
27,Low-Exp Designer
28,Steve Jackson (I)
29,Low-Exp Designer
30,Low-Exp Designer
31,Eamon Bloomfield
32,Alex Randolph
33,"Lynn Willis, Richard Launius, Sandy Petersen, Low-Exp Designer"
34,Stephen V. Cole
35,Ian Livingstone
36,"Bill Eberle, Jack Kittredge, Peter Olotka"
37,"Bill Eberle, Jack Kittredge, Peter Olotka"
38,"Bill Eberle, Jack Kittredge, Peter Olotka"
39,Sid Sackson
40,Reiner Knizia
41,Alan R. Moon
42,Reinhard Staupe
43,Richard Borg
44,Reiner Knizia
45,Low-Exp Designer
46,Low-Exp Designer
47,Uwe Rosenberg
48,Reiner Knizia
49,Alex Randolph
50,"Nigel Stillman, Rick Priestley"
51,Valentin Herman
52,"Wolfgang Kramer, Michael Kiesling"
53,Low-Exp Designer
54,"Yves Hirschfeld, Low-Exp Designer"
55,"Doug Kaufman, Tom Wham, Low-Exp Designer"
56,Low-Exp Designer
57,Philippe Keyaerts
58,Klaus Palesch
59,Stephen Hand
60,Dan Campagna
61,Pascal Bernard
62,Klaus Teuber
63,Low-Exp Designer
64,"Mark Simonitch, Richard H. Berg"
65,Low-Exp Designer
66,Franz-Benno Delonge
67,Francis Tresham
68,Marcel-André Casasola Merkle
69,Dirk Henn
70,"Mark Alan Osterhaus, Matthew Kirby"
71,James Ernest
72,Low-Exp Designer
73,"Craig Besinque, Tom Dalgliesh"
74,Craig Besinque
75,Craig Besinque
76,Tom Dalgliesh
77,"Tom Dalgliesh, Gary Selkirk"
78,Craig Besinque
79,"Tom Dalgliesh, Lance Gutteridge, Low-Exp Designer"
80,"Tom Dalgliesh, Grant Dalgliesh"
81,"Wolfgang Kramer, Michael Kiesling"
82,Low-Exp Designer
83,Craig Van Ness
84,Ted Raicer
85,"Richard Ulrich, Wolfgang Kramer"
86,Alan R. Moon
87,"Doris Matthäus, Frank Nestel"
88,"Larry Harris, Jr."
89,"Larry Harris, Jr."
90,"Larry Harris, Jr."
91,Michael Gray
92,Wolfgang Kramer
93,Uwe Rosenberg
94,Low-Exp Designer
95,Karl-Heinz Schmiel
96,Reiner Knizia
97,Mike Fitzgerald
98,Kris Burm
99,Jean du Poël
100,Wolfgang Kramer
101,Reiner Knizia
102,"Dominique Ehrhard, Duccio Vitale, Justin Kemppainen"
103,Klaus Palesch
104,Low-Exp Designer
105,Sid Sackson
106,Paul Peterson
107,Niek Neuwahl
108,Reiner Knizia
109,Reiner Knizia
110,Klaus Teuber
111,"Bill Eberle, Jack Kittredge, Peter Olotka"
112,Reiner Knizia
113,"Doris Matthäus, Frank Nestel"
114,Reiner Knizia
115,Low-Exp Designer
116,Mark McLaughlin
117,Peter Burley
118,"Tom Wham, Darwin Bromley"
119,Low-Exp Designer
120,Friedemann Friese
121,Thorsten Gimmler
122,Michael Schacht
123,Klaus Palesch
124,"Juan Rodriguez, Roger Heyworth, Sylvie Barc, Low-Exp Designer"
125,"Bill Eberle, Jack Kittredge, Peter Olotka, Edward Horn, Jr."
126,Low-Exp Designer
127,Alan R. Moon
128,Christwart Conrad
129,Alan R. Moon
130,Sid Sackson
131,Reiner Knizia
132,Low-Exp Designer
133,Klaus Kreowski
134,Jean du Poël
135,Reinhold Wittig
136,"Doris Matthäus, Frank Nestel"
137,Wolfgang Kramer
138,Dieter Danziger
139,Karl-Heinz Schmiel
140,"Wolfgang Kramer, Low-Exp Designer"
141,"Darwin Bromley, Larry Roznai, Low-Exp Designer"
142,Tom Wham
143,Low-Exp Designer
144,James Ernest
145,Eric Solomon
146,Low-Exp Designer
147,"Doris Matthäus, Frank Nestel"
148,"Darwin Bromley, Bill Fawcett"
149,Reiner Knizia
150,Low-Exp Designer
151,(Uncredited)
152,Stefan Dorra
153,"Eric Randall, Laurent Lavaur"
154,"Hanno Kuhn, Wilfried Kuhn"
155,Alex Randolph
156,James Ernest
157,Reiner Knizia
158,Reiner Knizia
159,Thorsten Gimmler
160,"Albert Lamorisse, Michael I. Levin"
161,Reiner Knizia
162,Reiner Knizia
163,James Ernest
164,David Hoyt
165,(Uncredited)
166,Klaus Teuber
167,Reiner Stockhausen
168,Horst-Rainer Rösner
169,(Uncredited)
170,Low-Exp Designer
171,Craig Van Ness
172,Urs Hostettler
173,James Kyle
174,Sid Sackson
175,Andreas Seyfarth
176,Klaus Teuber
177,Dirk Henn
178,Low-Exp Designer
179,Reiner Knizia
180,"Wolfgang Kramer, Michael Kiesling"
181,"Richard Garfield, Jim Lin, Skaff Elias"
182,Rüdiger Dorn
183,Dominique Ehrhard
184,Richard Borg
185,Rudi Hoffmann
186,Urs Hostettler
187,Reiner Knizia
188,Karl-Heinz Schmiel
189,Low-Exp Designer
190,Stefan Dorra
191,Reiner Knizia
192,Michael Gray
193,Uwe Rosenberg
194,Wolfgang Kramer
195,"Gary Dicken, Phil Kendall, Steve Kendall"
196,"Andrew Looney, John Cooper"
197,Corné van Moorsel
198,Low-Exp Designer
199,Alan R. Moon
200,Richard Hamblen
201,Richard H. Berg
202,"Dominique Ehrhard, Duccio Vitale"
203,Mark Simonitch
204,Richard H. Berg
205,S. Craig Taylor
206,Irad B. Hardy
207,Lewis Pulsipher
208,Thomas Lehmann
209,"Eric Goldberg, Low-Exp Designer"
210,Don Greenwood
211,"Don Greenwood, Michael S. Matheny"
212,"Michele Quondam, Low-Exp Designer"
213,"Alan R. Moon, Low-Exp Designer"
214,"Derek Carver, Low-Exp Designer"
215,Low-Exp Designer
216,Peter Hawes
217,John Young
218,"Greg Pinder, Harry Rowland"
219,Tom Walczyk
220,Low-Exp Designer
221,James Ernest
222,"Andrew Looney, Kristin Looney"
223,"Don Greenwood, Ben Knight"
224,Ben Knight
225,Stefan Dorra
226,Günter Burkhardt
227,Low-Exp Designer
228,Stefan Dorra
229,"Wolfgang Kramer, Horst-Rainer Rösner"
230,Low-Exp Designer
231,"Dan Glimne, Low-Exp Designer"
232,Reiner Knizia
233,Bernhard Weber
234,Francis Pacherie
235,Low-Exp Designer
236,Low-Exp Designer
237,"Kevin Zucker, Nicolas Pilartz"
238,Reiner Knizia
239,Klaus Teuber
240,James Ernest
241,Reiner Knizia
242,Dan Glimne
243,Low-Exp Designer
244,Bruce Harper
245,Phil Eklund
246,"Ben Knight, Low-Exp Designer"
247,"S. Craig Taylor, Low-Exp Designer"
248,Sid Sackson
249,François-Stanislas Thomas
250,Charles Vasey
251,Reiner Knizia
252,Philippe Mouchebeuf
253,Reiner Knizia
254,Jacques Zeimet
255,Richard Breese
256,"Duccio Vitale, Leo Colovini"
257,Christwart Conrad
258,Dan Glimne
259,Günter Burkhardt
260,"Philip C. Barker, Richard Bodley Scott, Low-Exp Designer"
261,Reiner Knizia
262,"Hanno Kuhn, Wilfried Kuhn"
263,Wolfgang Kramer
264,Hartmut Witt
265,"Wolfgang Kramer, Michael Kiesling"
266,Klaus Teuber
267,Low-Exp Designer
268,Alan R. Moon
269,Günter Cornett
270,"Garrett J. Donner, Michael S. Steer, Mick Uhl, Low-Exp Designer"
271,Thomas Lehmann
272,Friedemann Friese
273,Wolfgang Kramer
274,Low-Exp Designer
275,(Uncredited)
276,Low-Exp Designer
277,Low-Exp Designer
278,Low-Exp Designer
279,Low-Exp Designer
280,"Bertram Kaes, Virginia Charves"
281,Stefan Dorra
282,Gerhard E. Kodys
283,Spartaco Albertarelli
284,Low-Exp Designer
285,John Bohrer
286,Neil Zimmerer
287,Richard Halliwell
288,Klaus Teuber
289,Low-Exp Designer
290,Charles Phillips
291,Alex Randolph
292,(Uncredited)
293,Reiner Knizia
294,Uwe Rosenberg
295,Marsha J. Falco
296,"Doris Matthäus, Frank Nestel"
297,Reiner Knizia
298,Reiner Knizia
299,Reiner Knizia
300,John Bohrer
301,Alan R. Moon
302,"Richard Ulrich, Wolfgang Kramer"
303,Alex Randolph
304,Klaus Palesch
305,Phil Orbanes Sr.
306,"Alex Randolph, Leo Colovini"
307,Klaus Palesch
308,Reiner Knizia
309,"Hermann Huber, Low-Exp Designer"
310,Reiner Knizia
311,Reiner Knizia
312,Scott Kimball
313,David Parlett
314,Henri Sala
315,Reiner Knizia
316,Sid Sackson
317,Alan R. Moon
318,Wolfgang Kramer
319,"Frank DiLorenzo, Low-Exp Designer"
320,Reiner Knizia
321,Low-Exp Designer
322,Mike Fitzgerald
323,Reiner Knizia
324,Low-Exp Designer
325,Reinhard Staupe
326,Low-Exp Designer
327,Michael Rieneck
328,Martin Wallace
329,Darwin Bromley
330,Low-Exp Designer
331,Valentin Herman
332,Wolfgang Kramer
333,Reiner Knizia
334,Low-Exp Designer
335,Low-Exp Designer
336,Bruno Faidutti
337,Low-Exp Designer
338,Thomas Fackler
339,Low-Exp Designer
340,James Ernest
341,Mick Uhl
342,Günter Cornett
343,"Wolfgang Kramer, Michael Kiesling"
344,"Christian T. Petersen, Darrell Hardy, Tom Jolly, Low-Exp Designer"
345,Reiner Knizia
346,Low-Exp Designer
347,Sid Sackson
348,Sid Sackson
349,Hermann Huber
