bgg_id,mechanic
1,"Alliances, Area Majority / Influence, Auction/Bidding, Dice Rolling, Hand Management, Simultaneous Action Selection, Negotiation"
2,Trick-taking
3,"Area Majority / Influence, Hand Management, Hexagon Grid, Once-Per-Game Abilities, Set Collection, Tile Placement"
4,"Area Majority / Influence, Auction/Bidding, Set Collection, Action Points"
5,"Hand Management, Tile Placement, Investment, Market, Square Grid, Stock Holding, Victory Points as a Resource"
6,Dice Rolling
7,"Tile Placement, Enclosure, Pattern Building, Pattern Recognition"
8,Modular Board
9,"Area Majority / Influence, Tile Placement"
10,"Hand Management, Network and Route Building, Point to Point Movement, Drafting"
11,"Hand Management, Set Collection, Melding and Splaying, Negotiation, Trading"
12,"Auction/Bidding, Set Collection, Push Your Luck"
13,"Dice Rolling, Hexagon Grid, Modular Board, Network and Route Building, Negotiation, Trading, Income, Race, Random Production, Variable Set-up"
14,"Simultaneous Action Selection, Set Collection, Negotiation, Roll / Spin and Move"
15,"Alliances, Hand Management, Negotiation, Variable Player Powers, Betting and Bluffing"
16,Auction/Bidding
17,"Dice Rolling, Push Your Luck"
18,"Simultaneous Action Selection, Modular Board, Race, Action Queue, Bias, Grid Movement, Lose a Turn, Programmed Movement, Scenario / Mission / Campaign Game"
19,"Tile Placement, Voting, Betting and Bluffing"
20,"Dice Rolling, Hexagon Grid, Action Points"
22,"Dice Rolling, Simultaneous Action Selection, Modular Board, Point to Point Movement, Variable Set-up, Variable Player Powers, Action Queue, Events, Paper-and-Pencil, Player Elimination, Role Playing"
23,"Dice Rolling, Hexagon Grid, Variable Player Powers, Grid Movement, Events, Player Elimination, Movement Points, Simulation, Variable Phase Order, Drafting"
24,"Dice Rolling, Hexagon Grid, Tile Placement, Modular Board, Negotiation, Variable Player Powers, Voting"
25,"Dice Rolling, Hexagon Grid"
26,"Auction/Bidding, Simulation, Area Movement"
27,"Dice Rolling, Commodity Speculation"
28,"Dice Rolling, Tile Placement, Network and Route Building, Negotiation, Variable Player Powers, Drafting"
29,"Action Points, Modular Board"
30,"Push Your Luck, Area Movement"
31,"Dice Rolling, Grid Movement"
34,"Variable Player Powers, Role Playing, Cooperative Game"
36,"Dice Rolling, Hexagon Grid, Grid Movement, Movement Points, Simulation"
38,Deduction
39,"Area Majority / Influence, Variable Set-up, Variable Player Powers, Events, Paper-and-Pencil, Area Movement, Sudden Death Ending, Betting and Bluffing, Drafting, Physical"
40,"Negotiation, Trading, Random Production, Simulation, Area Movement, Betting and Bluffing"
41,"Dice Rolling, Push Your Luck"
42,"Area Majority / Influence, Hand Management, Set Collection, Tile Placement, Square Grid, Income, Connections, Highest-Lowest Scoring"
43,"Investment, Stock Holding, Network and Route Building"
44,Trick-taking
45,"Dice Rolling, Player Elimination, Betting and Bluffing"
46,"Auction/Bidding, Set Collection, Investment, Victory Points as a Resource, Push Your Luck, Income"
47,"Set Collection, Tile Placement, Investment, Victory Points as a Resource, Enclosure, Negotiation, Trading, Income"
48,Auction/Bidding
49,"Hand Management, Memory"
50,"Hand Management, Set Collection, Push Your Luck, Score-and-Reset Game"
51,"Modular Board, Grid Movement, Real-Time"
54,"Area Majority / Influence, Auction/Bidding, Hexagon Grid, Set Collection, Tile Placement, Action Points, Modular Board, Grid Movement, Layering, Map Addition"
55,Dice Rolling
57,"Auction/Bidding, Commodity Speculation"
58,"Area Majority / Influence, Dice Rolling, Hexagon Grid, Modular Board, Events, Area Movement, Betting and Bluffing, Secret Unit Deployment"
59,"Auction/Bidding, Commodity Speculation"
60,"Area Majority / Influence, Variable Player Powers, Area Movement, Increase Value of Unchosen Resources"
61,Set Collection
62,Action Queue
63,"Dice Rolling, Movement Points, Simulation, Area Movement, Ratio / Combat Results Table"
64,"Area Majority / Influence, Dice Rolling, Hand Management, Area Movement, Take That, Team-Based Game"
66,"Area Majority / Influence, Auction/Bidding, Modular Board"
67,"Action Points, Point to Point Movement"
68,"Dice Rolling, Point to Point Movement, Campaign / Battle Card Driven"
69,Pattern Building
70,"Hand Management, Tile Placement, Modular Board"
71,"Area Majority / Influence, Hand Management, Set Collection, Negotiation, Trading, Area Movement, Tech Trees / Tech Tracks"
72,"Hand Management, Modular Board, Variable Player Powers, Team-Based Game, Drafting"
73,"Auction/Bidding, Set Collection, Drafting"
74,"Hand Management, Simultaneous Action Selection, Player Judge"
75,"Hand Management, Real-Time"
76,"Area Majority / Influence, Dice Rolling, Chit-Pull System"
