bgg_id,category
1,Alliances
1,Area Majority / Influence
1,Auction/Bidding
1,Dice Rolling
1,Hand Management
1,Simultaneous Action Selection
1,Negotiation
2,Trick-taking
3,Area Majority / Influence
3,Hand Management
3,Hexagon Grid
3,Once-Per-Game Abilities
3,Set Collection
3,Tile Placement
4,Area Majority / Influence
4,Auction/Bidding
4,Set Collection
4,Action Points
5,Hand Management
5,Tile Placement
5,Investment
5,Market
5,Square Grid
5,Stock Holding
5,Victory Points as a Resource
6,Dice Rolling
7,Tile Placement
7,Enclosure
7,Pattern Building
7,Pattern Recognition
8,Modular Board
9,Area Majority / Influence
9,Tile Placement
10,Hand Management
10,Network and Route Building
10,Point to Point Movement
10,Drafting
11,Hand Management
11,Set Collection
11,Melding and Splaying
11,Negotiation
11,Trading
12,Auction/Bidding
12,Set Collection
12,Push Your Luck
13,Dice Rolling
13,Hexagon Grid
13,Modular Board
13,Network and Route Building
13,Negotiation
13,Trading
13,Income
13,Race
13,Random Production
13,Variable Set-up
14,Simultaneous Action Selection
14,Set Collection
14,Negotiation
14,Roll / Spin and Move
15,Alliances
15,Hand Management
15,Negotiation
15,Variable Player Powers
15,Betting and Bluffing
16,Auction/Bidding
17,Dice Rolling
17,Push Your Luck
18,Simultaneous Action Selection
18,Modular Board
18,Race
18,Action Queue
18,Bias
18,Grid Movement
18,Lose a Turn
18,Programmed Movement
18,Scenario / Mission / Campaign Game
19,Tile Placement
19,Voting
19,Betting and Bluffing
20,Dice Rolling
20,Hexagon Grid
20,Action Points
22,Dice Rolling
22,Simultaneous Action Selection
22,Modular Board
22,Point to Point Movement
22,Variable Set-up
22,Variable Player Powers
22,Action Queue
22,Events
22,Paper-and-Pencil
22,Player Elimination
22,Role Playing
23,Dice Rolling
23,Hexagon Grid
23,Variable Player Powers
23,Grid Movement
23,Events
23,Player Elimination
23,Movement Points
23,Simulation
23,Variable Phase Order
23,Drafting
24,Dice Rolling
24,Hexagon Grid
24,Tile Placement
24,Modular Board
24,Negotiation
24,Variable Player Powers
24,Voting
25,Dice Rolling
25,Hexagon Grid
26,Auction/Bidding
26,Simulation
26,Area Movement
27,Dice Rolling
27,Commodity Speculation
28,Dice Rolling
28,Tile Placement
28,Network and Route Building
28,Negotiation
28,Variable Player Powers
28,Drafting
29,Action Points
29,Modular Board
30,Push Your Luck
30,Area Movement
31,Dice Rolling
31,Grid Movement
34,Variable Player Powers
34,Role Playing
34,Cooperative Game
36,Dice Rolling
36,Hexagon Grid
36,Grid Movement
36,Movement Points
36,Simulation
38,Deduction
39,Area Majority / Influence
39,Variable Set-up
39,Variable Player Powers
39,Events
39,Paper-and-Pencil
39,Area Movement
39,Sudden Death Ending
39,Betting and Bluffing
39,Drafting
39,Physical
40,Negotiation
40,Trading
40,Random Production
40,Simulation
40,Area Movement
40,Betting and Bluffing
41,Dice Rolling
41,Push Your Luck
42,Area Majority / Influence
42,Hand Management
42,Set Collection
42,Tile Placement
42,Square Grid
42,Income
42,Connections
42,Highest-Lowest Scoring
43,Investment
43,Stock Holding
43,Network and Route Building
44,Trick-taking
45,Dice Rolling
45,Player Elimination
45,Betting and Bluffing
46,Auction/Bidding
46,Set Collection
46,Investment
46,Victory Points as a Resource
46,Push Your Luck
46,Income
47,Set Collection
47,Tile Placement
47,Investment
47,Victory Points as a Resource
47,Enclosure
47,Negotiation
47,Trading
47,Income
48,Auction/Bidding
49,Hand Management
49,Memory
50,Hand Management
50,Set Collection
50,Push Your Luck
50,Score-and-Reset Game
51,Modular Board
51,Grid Movement
51,Real-Time
54,Area Majority / Influence
54,Auction/Bidding
54,Hexagon Grid
54,Set Collection
54,Tile Placement
54,Action Points
54,Modular Board
54,Grid Movement
54,Layering
54,Map Addition
55,Dice Rolling
57,Auction/Bidding
57,Commodity Speculation
58,Area Majority / Influence
58,Dice Rolling
58,Hexagon Grid
58,Modular Board
58,Events
58,Area Movement
58,Betting and Bluffing
58,Secret Unit Deployment
59,Auction/Bidding
59,Commodity Speculation
60,Area Majority / Influence
60,Variable Player Powers
60,Area Movement
60,Increase Value of Unchosen Resources
61,Set Collection
62,Action Queue
63,Dice Rolling
63,Movement Points
63,Simulation
63,Area Movement
63,Ratio / Combat Results Table
64,Area Majority / Influence
64,Dice Rolling
64,Hand Management
64,Area Movement
64,Take That
64,Team-Based Game
66,Area Majority / Influence
66,Auction/Bidding
66,Modular Board
67,Action Points
67,Point to Point Movement
68,Dice Rolling
68,Point to Point Movement
68,Campaign / Battle Card Driven
69,Pattern Building
70,Hand Management
70,Tile Placement
70,Modular Board
71,Area Majority / Influence
71,Hand Management
71,Set Collection
71,Negotiation
71,Trading
71,Area Movement
71,Tech Trees / Tech Tracks
72,Hand Management
72,Modular Board
72,Variable Player Powers
72,Team-Based Game
72,Drafting
73,Auction/Bidding
73,Set Collection
73,Drafting
74,Hand Management
74,Simultaneous Action Selection
74,Player Judge
75,Hand Management
75,Real-Time
76,Area Majority / Influence
76,Dice Rolling
76,Chit-Pull System
77,Dice Rolling
77,Hexagon Grid
77,Simulation
77,Secret Unit Deployment
78,Dice Rolling
78,Hexagon Grid
78,Secret Unit Deployment
79,Dice Rolling
79,Hexagon Grid
79,Grid Movement
79,Simulation
79,Secret Unit Deployment
82,Dice Rolling
