bgg_id,publisher
1,"Hans im Glück, Moskito Spiele, Portal Games, Spielworxx, Stronghold Games, Valley Games, Inc., YOKA Games, sternenschimmermeer"
2,"E.S. Lowe, Milton Bradley"
3,"Hans im Glück, 999 Games, ABACUSSPIELE, Descartes Editeur, Edge Entertainment, Fantasy Flight Games, Galakta, Hobby Japan, Korea Boardgames Co., Ltd., Lacerta, Lautapelit.fi, Rio Grande Games, Smart Ltd, Wargames Club Publishing, Low-Exp Publisher"
4,KOSMOS
5,"3M, Avalon Hill Games, Inc., Dujardin, Grow Jogos e Brinquedos, PS-Games, Schmidt France, Schmidt International, Schmidt Spiele, Selecta Spel en Hobby, The Avalon Hill Game Co, Low-Exp Publisher"
6,Historien Spiele Galerie (Historien Spielegalerie)
7,"Falomir Juegos, Family Games, Inc., Gazebo Games UK Ltd., Gigamic, Holzinsel, Lagoon Games, Mattel, Low-Exp Publisher"
8,"Vendetta, Warfrog Games"
9,"Hans im Glück, 999 Games, Rio Grande Games"
10,"999 Games, Rio Grande Games, AMIGO, Albi, Corfix, Hobby World, Midgaard Games"
11,"999 Games, Korea Boardgames Co., Ltd., Lautapelit.fi, Rio Grande Games, Gigamic, AMIGO, Corfix, Midgaard Games, Brain Games, Broadway Toys LTD, Brädspel.se, Copag Cards, Fractal Juegos, G3, Giochi Uniti, Kaissa Chess & Games, Kikigagne?, Lifestyle Boardgames Ltd, Lookout Games, Mercurio, Möbius Games, Paper Iyagi, PaperGames (III), Piatnik, Stratelibri, Swan Panasia Co., Ltd., Low-Exp Publisher"
12,"999 Games, ABACUSSPIELE, Edge Entertainment, Korea Boardgames Co., Ltd., Rio Grande Games, Swan Panasia Co., Ltd., 25th Century Games, DiceTree Games, New Games Order, LLC, Ravensburger, alea, Überplay, Low-Exp Publisher"
13,"999 Games, Descartes Editeur, Galakta, Korea Boardgames Co., Ltd., Lautapelit.fi, Smart Ltd, KOSMOS, Grow Jogos e Brinquedos, Albi, Hobby World, Brain Games, Broadway Toys LTD, Brädspel.se, Giochi Uniti, Kaissa Chess & Games, Paper Iyagi, Piatnik, Swan Panasia Co., Ltd., Asmodee, Bergsala Enigma (Enigma), Capcom Co., Ltd., Catan Studio, Competo / Marektoy, Devir, Eurogames, Filosofia Éditions, GP Games, HaKubia, Hanayama, Ideal Board Games, Igroljub, Laser plus, Mayfair Games, Spilbræt.dk, Stupor Mundi, SuperHeated Neurons, Tilsit, Top Toys, Vennerød Forlag AS, danspil, Ísöld ehf., Low-Exp Publisher"
14,"New Games Order, LLC, F.X. Schmid, Out of the Box Publishing"
15,"Descartes Editeur, Grow Jogos e Brinquedos, ASS Altenburger Spielkarten, Alga, Eon, Games Workshop Ltd., Tsukuda Hobby, West End Games"
16,KOSMOS
17,"(Unknown), Atlas Games, Cheapass Games, Five Rings Publishing Group, Looney Labs, Truant Spiele, Low-Exp Publisher"
18,"999 Games, Avalon Hill Games, Inc., AMIGO, ADC Blackfire Entertainment, Hasbro, Play Factory, Wizards of the Coast"
19,"Hans im Glück, Mayfair Games"
20,Ludodélire
21,Low-Exp Publisher
22,"Hobby Japan, The Avalon Hill Game Co"
23,"TSR, Low-Exp Publisher"
24,Fantasy Flight Games
25,Fantasy Flight Games
26,"Descartes Editeur, The Avalon Hill Game Co"
27,"Descartes Editeur, Grow Jogos e Brinquedos, Low-Exp Publisher"
28,"Descartes Editeur, Edge Entertainment, Devir, Laurin Verlag, Pegasus Spiele, Queen Games, Raven Distribution, Steve Jackson Games, Ubik, Low-Exp Publisher"
29,Ludodélire
30,Milton Bradley
31,"Schmidt France, Schmidt Spiele, Selecta Spel en Hobby, Mattel, AS Company, Canada Games, Crown & Andrews Ltd., Diset S. A., Kod Kod, Waddingtons"
32,"Schmidt Spiele, Piatnik, GP Games, Action GT, Lakeside, OPEN'N PLAY, Pelikan, Popcorn Games, Venice Connection, Winning Moves France, Low-Exp Publisher"
33,"Descartes Editeur, Hobby Japan, Chaosium"
34,"Amarillo Design Bureau, Inc., Task Force Games"
35,Games Workshop Ltd.
36,"Eon, franjos Spieleverlag"
37,Eon
38,"Eon, Tsukuda Hobby, Welt der Spiele, Low-Exp Publisher"
39,"Swan Panasia Co., Ltd., New Games Order, LLC, Ravensburger, Asmodee, Vennerød Forlag AS, OPEN'N PLAY, Popcorn Games, franjos Spieleverlag, Borras Plana S.A., Clipper, Eagle-Gryphon Games, Editrice Giochi, Face2Face Games, Gonggan27, Maldito Games, Miro Company, Oya, Palitoy Ltd., Parker Brothers, förlAgo AB"
40,"Hans im Glück, 999 Games, Edge Entertainment, Fantasy Flight Games, Hobby Japan, Lacerta, Smart Ltd, Wargames Club Publishing, Giochi Uniti, Devir, Mayfair Games, Pegasus Spiele, Galápagos Jogos, Heidelberger Spieleverlag, Matagot, Z-Man Games, Low-Exp Publisher"
41,ABACUSSPIELE
42,"Wargames Club Publishing, Pegasus Spiele, Berliner Spielkarten, Playroom Entertainment"
