bgg_id,publisher
1,Hans im Glück
1,Moskito Spiele
1,Portal Games
1,Spielworxx
1,Stronghold Games
1,"Valley Games, Inc."
1,YOKA Games
1,sternenschimmermeer
2,E.S. Lowe
2,Milton Bradley
3,Hans im Glück
3,999 Games
3,ABACUSSPIELE
3,Descartes Editeur
3,Edge Entertainment
3,Fantasy Flight Games
3,Galakta
3,Hobby Japan
3,"Korea Boardgames Co., Ltd."
3,Lacerta
3,Lautapelit.fi
3,Rio Grande Games
3,Smart Ltd
3,Wargames Club Publishing
3,Low-Exp Publisher
4,KOSMOS
5,3M
5,"Avalon Hill Games, Inc."
5,Dujardin
5,Grow Jogos e Brinquedos
5,PS-Games
5,Schmidt France
5,Schmidt International
5,Schmidt Spiele
5,Selecta Spel en Hobby
5,The Avalon Hill Game Co
5,Low-Exp Publisher
6,Historien Spiele Galerie (Historien Spielegalerie)
7,Falomir Juegos
7,"Family Games, Inc."
7,Gazebo Games UK Ltd.
7,Gigamic
7,Holzinsel
7,Lagoon Games
7,Mattel
7,Low-Exp Publisher
8,Vendetta
8,Warfrog Games
9,Hans im Glück
9,999 Games
9,Rio Grande Games
10,999 Games
10,Rio Grande Games
10,AMIGO
10,Albi
10,Corfix
10,Hobby World
10,Midgaard Games
11,999 Games
11,"Korea Boardgames Co., Ltd."
11,Lautapelit.fi
11,Rio Grande Games
11,Gigamic
11,AMIGO
11,Corfix
11,Midgaard Games
11,Brain Games
11,Broadway Toys LTD
11,Brädspel.se
11,Copag Cards
11,Fractal Juegos
11,G3
11,Giochi Uniti
11,Kaissa Chess & Games
11,Kikigagne?
11,Lifestyle Boardgames Ltd
11,Lookout Games
11,Mercurio
11,Möbius Games
11,Paper Iyagi
11,PaperGames (III)
11,Piatnik
11,Stratelibri
11,"Swan Panasia Co., Ltd."
11,Low-Exp Publisher
12,999 Games
12,ABACUSSPIELE
12,Edge Entertainment
12,"Korea Boardgames Co., Ltd."
12,Rio Grande Games
12,"Swan Panasia Co., Ltd."
12,25th Century Games
12,DiceTree Games
12,"New Games Order, LLC"
12,Ravensburger
12,alea
12,Überplay
12,Low-Exp Publisher
13,999 Games
13,Descartes Editeur
13,Galakta
13,"Korea Boardgames Co., Ltd."
13,Lautapelit.fi
13,Smart Ltd
13,KOSMOS
13,Grow Jogos e Brinquedos
13,Albi
13,Hobby World
13,Brain Games
13,Broadway Toys LTD
13,Brädspel.se
13,Giochi Uniti
13,Kaissa Chess & Games
13,Paper Iyagi
13,Piatnik
13,"Swan Panasia Co., Ltd."
13,Asmodee
13,Bergsala Enigma (Enigma)
13,"Capcom Co., Ltd."
13,Catan Studio
13,Competo / Marektoy
13,Devir
13,Eurogames
13,Filosofia Éditions
13,GP Games
13,HaKubia
13,Hanayama
13,Ideal Board Games
13,Igroljub
13,Laser plus
13,Mayfair Games
13,Spilbræt.dk
13,Stupor Mundi
13,SuperHeated Neurons
13,Tilsit
13,Top Toys
13,Vennerød Forlag AS
13,danspil
13,Ísöld ehf.
13,Low-Exp Publisher
14,"New Games Order, LLC"
14,F.X. Schmid
14,Out of the Box Publishing
15,Descartes Editeur
15,Grow Jogos e Brinquedos
15,ASS Altenburger Spielkarten
15,Alga
15,Eon
15,Games Workshop Ltd.
15,Tsukuda Hobby
15,West End Games
16,KOSMOS
17,(Unknown)
17,Atlas Games
17,Cheapass Games
17,Five Rings Publishing Group
17,Looney Labs
17,Truant Spiele
17,Low-Exp Publisher
18,999 Games
18,"Avalon Hill Games, Inc."
18,AMIGO
18,ADC Blackfire Entertainment
18,Hasbro
18,Play Factory
18,Wizards of the Coast
19,Hans im Glück
19,Mayfair Games
20,Ludodélire
21,Low-Exp Publisher
22,Hobby Japan
22,The Avalon Hill Game Co
23,TSR
23,Low-Exp Publisher
24,Fantasy Flight Games
25,Fantasy Flight Games
26,Descartes Editeur
26,The Avalon Hill Game Co
27,Descartes Editeur
27,Grow Jogos e Brinquedos
27,Low-Exp Publisher
28,Descartes Editeur
28,Edge Entertainment
28,Devir
28,Laurin Verlag
28,Pegasus Spiele
28,Queen Games
28,Raven Distribution
28,Steve Jackson Games
28,Ubik
28,Low-Exp Publisher
29,Ludodélire
30,Milton Bradley
31,Schmidt France
31,Schmidt Spiele
31,Selecta Spel en Hobby
31,Mattel
31,AS Company
31,Canada Games
31,Crown & Andrews Ltd.
31,Diset S. A.
31,Kod Kod
31,Waddingtons
