bgg_id,boardgame_rank,strategygames_rank,abstracts_rank,familygames_rank,thematic_rank,cgs_rank,wargames_rank,partygames_rank,childrensgames_rank
1,316,180,21926,21926,21926,21926,21926,21926,21926
2,3993,1577,21926,21926,21926,21926,21926,21926,21926
3,224,166,21926,21926,21926,21926,21926,21926,21926
4,5345,21926,21926,21926,21926,21926,21926,21926,21926
5,290,220,21926,21926,21926,21926,21926,21926,21926
6,10766,21926,21926,21926,21926,21926,21926,21926,21926
7,1969,21926,137,21926,21926,21926,21926,21926,21926
8,9144,21926,21926,21926,21926,21926,21926,21926,21926
9,2948,1297,21926,21926,21926,21926,21926,21926,21926
10,1117,21926,21926,308,21926,21926,21926,21926,21926
11,468,21926,21926,116,21926,21926,21926,21926,21926
12,186,138,21926,21926,21926,21926,21926,21926,21926
13,427,409,21926,129,21926,21926,21926,21926,21926
14,2015,1000,21926,552,21926,21926,21926,21926,21926
15,1190,723,21926,21926,308,21926,21926,21926,21926
16,2575,1145,21926,21926,21926,21926,21926,21926,21926
17,4220,21926,21926,21926,21926,122,21926,21926,21926
18,473,359,21926,21926,157,21926,21926,21926,21926
19,3111,21926,21926,914,21926,21926,21926,21926,21926
20,2231,1040,21926,21926,21926,21926,21926,21926,21926
21,18027,21926,21926,21926,21926,21926,21926,21926,21926
22,1350,763,21926,21926,278,21926,21926,21926,21926
23,3538,21926,21926,21926,584,21926,451,21926,21926
24,3892,21926,21926,21926,645,21926,21926,21926,21926
25,9670,21926,21926,21926,988,21926,2336,21926,21926
26,1356,742,21926,21926,21926,21926,21926,21926,21926
27,16375,21926,21926,21926,21926,21926,3457,21926,21926
28,1919,1138,21926,21926,488,21926,21926,21926,21926
29,10342,21926,21926,21926,21926,21926,21926,21926,21926
30,2658,21926,21926,21926,547,21926,21926,21926,21926
31,21307,21926,21926,21926,1217,21926,21926,21926,21926
32,7929,21926,400,21926,21926,21926,21926,21926,21926
34,4509,21926,21926,21926,706,21926,21926,21926,21926
36,5892,21926,21926,21926,21926,21926,1192,21926,21926
37,15658,21926,21926,21926,21926,21926,3015,21926,21926
38,11818,21926,21926,21926,21926,21926,21926,21926,21926
39,19422,21926,21926,21926,21926,21926,21926,21926,21926
40,5988,21926,21926,21926,780,21926,1000,21926,21926
41,753,21926,21926,202,21926,21926,21926,21926,21926
42,96,85,21926,21926,21926,21926,21926,21926,21926
43,5195,1689,21926,21926,21926,21926,21926,21926,21926
44,2699,21926,21926,778,21926,21926,21926,21926,21926
45,721,21926,21926,190,21926,21926,21926,50,21926
46,562,352,21926,21926,21926,21926,21926,21926,21926
47,375,252,21926,21926,21926,21926,21926,21926,21926
48,5454,1760,21926,21926,21926,21926,21926,21926,21926
49,1635,21926,21926,500,21926,21926,21926,21926,21926
50,325,21926,21926,70,21926,21926,21926,21926,21926
51,720,21926,44,21926,21926,21926,21926,21926,21926
52,6719,21926,21926,21926,21926,21926,1916,21926,21926
53,16632,21926,21926,21926,21926,21926,21926,21926,21926
54,282,209,21926,21926,21926,21926,21926,21926,21926
55,20750,21926,21926,21926,21926,21926,21926,21926,21926
57,4738,1623,21926,21926,21926,21926,21926,21926,21926
58,2687,21926,21926,21926,524,21926,628,21926,21926
59,2301,1090,21926,21926,21926,21926,21926,21926,21926
60,910,523,21926,21926,21926,21926,21926,21926,21926
61,20022,21926,994,2166,21926,21926,21926,21926,21926
62,20720,21926,21926,21926,1196,21926,21926,21926,21926
63,5513,21926,21926,21926,21926,21926,1141,21926,21926
64,6031,1853,21926,21926,21926,21926,1302,21926,21926
66,1244,671,21926,21926,21926,21926,21926,21926,21926
67,5957,21926,21926,21926,21926,21926,1389,21926,21926
68,3562,21926,21926,21926,21926,21926,428,21926,21926
69,12713,21926,612,21926,21926,21926,21926,21926,21926
70,1486,801,21926,386,21926,21926,21926,21926,21926
71,347,232,21926,21926,21926,21926,21926,21926,21926
72,1971,990,21926,21926,21926,21926,21926,21926,21926
73,1602,815,21926,401,21926,21926,21926,21926,21926
74,5238,21926,21926,21926,21926,21926,21926,502,21926
75,19664,21926,21926,21926,21926,21926,21926,578,21926
76,4277,1599,21926,21926,21926,21926,21926,21926,21926
77,2130,21926,21926,21926,21926,21926,116,21926,21926
78,6569,21926,21926,21926,21926,21926,980,21926,21926
79,10152,21926,21926,21926,21926,21926,1946,21926,21926
82,4959,21926,21926,21926,21926,21926,750,21926,21926
83,9569,21926,21926,21926,21926,21926,1888,21926,21926
84,1616,21926,21926,21926,21926,21926,94,21926,21926
85,3046,21926,21926,21926,21926,21926,401,21926,21926
87,5529,21926,21926,21926,21926,21926,1076,21926,21926
88,579,378,26,21926,21926,21926,21926,21926,21926
89,4291,21926,21926,21926,21926,21926,625,21926,21926
90,5219,21926,21926,1340,21926,21926,21926,21926,21926
91,173,21926,21926,21926,21926,21926,3,21926,21926
93,82,67,21926,21926,21926,21926,21926,21926,21926
94,730,425,21926,21926,21926,21926,21926,21926,21926
95,3508,21926,21926,984,21926,21926,21926,21926,21926
96,6002,21926,21926,21926,865,21926,21926,21926,21926
97,4315,21926,21926,21926,728,21926,1276,21926,21926
98,1494,21926,21926,21926,21926,21926,678,21926,21926
99,1905,21926,21926,21926,408,21926,436,21926,21926
101,2523,21926,21926,697,21926,21926,21926,21926,21926
102,4362,1582,21926,1178,21926,21926,21926,21926,21926
103,1147,21926,21926,21926,299,21926,311,21926,21926
104,4999,1648,21926,21926,21926,21926,21926,21926,21926
105,1051,641,21926,286,21926,21926,21926,21926,21926
106,1173,668,21926,290,21926,21926,21926,21926,21926
108,2264,21926,86,21926,21926,21926,21926,21926,21926
109,7255,1937,21926,1589,21926,21926,21926,21926,21926
110,3351,21926,21926,981,21926,21926,21926,21926,21926
111,2355,1117,21926,21926,21926,21926,21926,21926,21926
112,884,576,21926,21926,21926,21926,21926,21926,21926
113,6064,21926,21926,21926,21926,21926,21926,21926,21926
114,12269,21926,21926,21926,21926,21926,21926,21926,21926
115,1339,785,21926,364,21926,21926,21926,21926,21926
116,1226,21926,21926,417,21926,21926,21926,21926,21926
117,1858,21926,60,21926,21926,21926,21926,21926,21926
118,220,164,21926,21926,21926,21926,21926,21926,21926
119,1399,825,93,21926,21926,21926,21926,21926,21926
120,1606,21926,21926,484,21926,21926,21926,21926,21926
121,346,226,21926,21926,77,21926,21926,21926,21926
122,2326,1146,21926,21926,21926,21926,21926,21926,21926
124,992,582,21926,21926,21926,21926,21926,21926,21926
125,1992,21926,21926,587,21926,21926,21926,21926,21926
126,4911,21926,21926,21926,21926,21926,21926,356,21926
127,19788,21926,21926,21926,21926,21926,3449,21926,21926
128,1813,21926,104,514,21926,21926,21926,21926,21926
130,1847,938,21926,21926,21926,21926,21926,21926,21926
132,1999,1063,21926,21926,21926,21926,21926,21926,21926
133,10077,2126,21926,21926,21926,21926,21926,21926,21926
134,6837,21926,21926,1566,21926,21926,21926,21926,21926
135,6274,1864,21926,21926,21926,21926,21926,21926,21926
136,18269,21926,21926,21926,21926,21926,21926,21926,21926
137,6317,21926,21926,21926,21926,21926,21926,416,21926
139,10210,2140,21926,21926,21926,21926,21926,463,21926
140,1749,21926,21926,590,21926,21926,21926,171,21926
141,3242,1381,21926,933,21926,21926,21926,21926,21926
142,4103,1543,21926,21926,21926,21926,21926,21926,21926
144,11949,21926,21926,21926,21926,21926,21926,21926,21926
145,5759,1781,21926,1395,21926,21926,21926,21926,21926
146,4810,1677,21926,1278,21926,21926,21926,21926,21926
147,2631,1168,21926,21926,21926,21926,21926,21926,21926
148,15318,21926,21926,21926,21926,21926,21926,21926,21926
150,405,21926,21926,78,21926,21926,21926,20,21926
151,4943,21926,21926,21926,21926,21926,21926,21926,21926
152,1330,684,21926,21926,21926,21926,21926,21926,21926
153,2378,21926,21926,698,21926,21926,21926,21926,21926
154,8775,2038,21926,21926,21926,21926,21926,21926,21926
155,3041,1272,21926,812,21926,21926,21926,21926,21926
156,3624,21926,21926,975,21926,21926,21926,21926,21926
157,1560,846,21926,21926,21926,21926,21926,21926,21926
162,2197,21926,21926,21926,493,21926,585,21926,21926
163,1808,21926,21926,21926,21926,21926,21926,146,21926
164,20892,21926,21926,2218,1203,21926,21926,21926,21926
165,3940,21926,202,21926,21926,21926,21926,21926,21926
166,16139,21926,21926,21926,21926,21926,21926,21926,21926
167,9702,2101,21926,21926,21926,21926,21926,21926,21926
168,1331,787,21926,21926,21926,21926,21926,21926,21926
169,2640,21926,21926,773,21926,21926,21926,21926,21926
170,3262,21926,21926,1107,723,21926,21926,21926,21926
171,436,21926,46,21926,21926,21926,21926,21926,21926
172,313,21926,21926,64,21926,21926,21926,21926,21926
173,21926,21926,21926,21926,21926,21926,21926,21926,21926
174,18235,21926,21926,21926,21926,21926,21926,21926,21926
175,2388,21926,21926,710,21926,21926,21926,21926,21926
176,5823,21926,21926,1584,920,21926,21926,21926,21926
178,10082,21926,506,21926,21926,21926,21926,21926,21926
179,13749,21926,594,21926,21926,21926,21926,21926,21926
180,15046,21926,706,21926,21926,21926,21926,21926,21926
181,20741,21926,21926,2234,21926,21926,3519,21926,21926
182,4336,21926,21926,1162,21926,21926,21926,21926,21926
183,9836,21926,422,21926,21926,21926,21926,21926,21926
185,21008,21926,21926,2208,21926,21926,21926,21926,21926
186,11392,21926,21926,21926,21926,21926,21926,21926,21926
188,182,21926,13,21926,21926,21926,21926,21926,21926
189,2566,1144,21926,693,21926,21926,21926,21926,21926
190,9348,21926,21926,1757,21926,21926,21926,21926,21926
192,3680,21926,21926,1023,21926,21926,21926,21926,21926
193,11909,21926,21926,1907,21926,21926,21926,21926,21926
194,4439,21926,21926,21926,730,21926,21926,21926,21926
195,18857,21926,21926,21926,21926,21926,21926,21926,21926
196,1261,716,21926,21926,309,21926,21926,21926,21926
197,12917,21926,21926,21926,21926,21926,21926,21926,21926
198,9259,21926,21926,1766,21926,21926,21926,21926,21926
199,1209,21926,21926,328,21926,21926,21926,21926,21926
200,2977,1315,21926,863,21926,21926,21926,21926,21926
201,1337,21926,63,21926,21926,21926,21926,21926,21926
202,4377,1616,21926,21926,21926,21926,1314,21926,21926
204,1313,706,21926,21926,21926,21926,21926,21926,21926
206,11083,21926,21926,21926,21926,21926,21926,21926,21926
207,9947,21926,21926,21926,21926,21926,21926,21926,21926
208,18241,21926,21926,21926,21926,21926,21926,21926,21926
210,6042,21926,21926,21926,21926,21926,21926,21926,21926
211,7792,21926,21926,21926,21926,21926,21926,21926,21926
214,2898,21926,21926,873,21926,21926,21926,21926,21926
215,181,133,21926,21926,21926,21926,21926,21926,21926
216,8256,21926,461,21926,21926,21926,21926,21926,21926
217,2054,21926,21926,633,21926,21926,21926,21926,21926
218,11310,2195,21926,1896,21926,21926,21926,21926,21926
219,9414,21926,21926,21926,21926,21926,21926,21926,21926
220,538,21926,21926,128,21926,21926,21926,21926,21926
221,944,21926,21926,21926,250,21926,240,21926,21926
222,4136,21926,21926,1182,21926,21926,21926,21926,21926
223,2411,21926,21926,658,21926,21926,21926,21926,21926
224,852,526,21926,21926,205,21926,21926,21926,21926
225,4079,21926,217,21926,21926,21926,21926,21926,21926
226,13510,21926,560,21926,21926,21926,21926,21926,21926
228,14189,21926,21926,21926,1170,21926,21926,21926,21926
229,3805,21926,21926,1078,21926,21926,21926,21926,21926
230,1093,596,21926,21926,21926,21926,21926,21926,21926
231,16298,21926,21926,21926,21926,21926,3050,21926,21926
232,1619,868,21926,21926,21926,21926,21926,21926,21926
234,269,21926,21926,21926,21926,21926,19,21926,21926
235,3313,21926,21926,21926,646,21926,878,21926,21926
237,1492,21926,21926,21926,21926,21926,234,21926,21926
239,9406,21926,21926,21926,21926,21926,1641,21926,21926
240,802,21926,21926,21926,21926,21926,133,21926,21926
241,10192,2131,21926,21926,1010,21926,21926,21926,21926
242,1333,850,21926,21926,365,21926,21926,21926,21926
243,350,21926,21926,21926,21926,21926,15,21926,21926
244,2184,1143,21926,21926,447,21926,21926,21926,21926
246,19363,21926,21926,21926,21926,21926,21926,21926,21926
247,3600,21926,21926,1003,21926,21926,21926,21926,21926
248,4089,21926,21926,21926,666,21926,21926,21926,21926
249,1710,939,21926,491,21926,21926,21926,21926,21926
250,5179,1728,21926,21926,21926,21926,1018,21926,21926
252,8045,21926,21926,21926,21926,21926,1360,21926,21926
254,1437,21926,21926,21926,21926,21926,108,21926,21926
255,16108,21926,21926,21926,21926,21926,3037,21926,21926
256,2202,21926,21926,685,21926,21926,21926,21926,21926
257,2675,21926,21926,934,21926,21926,21926,21926,21926
258,9171,21926,21926,2127,21926,21926,21926,592,21926
259,4499,1647,21926,21926,21926,21926,853,21926,21926
260,14057,21926,21926,21926,21926,21926,2879,21926,21926
261,8491,21926,21926,1701,21926,21926,21926,21926,21926
263,7053,1923,21926,1572,21926,21926,21926,21926,21926
264,4893,21926,21926,21926,21926,21926,1115,21926,21926
265,2416,1179,21926,21926,21926,21926,21926,21926,21926
267,3317,1355,21926,21926,21926,21926,21926,21926,21926
268,7843,21926,21926,21926,21926,21926,21926,21926,21926
270,4942,1753,21926,21926,795,21926,21926,21926,21926
271,8086,21926,21926,1685,21926,21926,21926,21926,21926
272,9178,21926,21926,21926,21926,21926,21926,21926,21926
273,15605,21926,21926,21926,21926,21926,21926,21926,21926
274,6279,21926,21926,21926,21926,21926,1318,21926,21926
275,19595,21926,21926,21926,21926,21926,21926,21926,21926
276,12756,21926,21926,21926,21926,21926,2340,21926,21926
277,6163,1852,21926,21926,21926,21926,21926,21926,21926
278,1013,669,21926,21926,21926,21926,21926,21926,21926
279,4733,21926,285,21926,21926,21926,21926,21926,21926
280,6131,1811,21926,1426,21926,21926,21926,21926,21926
281,21222,21926,21926,21926,21926,21926,21926,21926,21926
282,14345,21926,21926,21926,21926,21926,3069,21926,21926
283,3316,21926,21926,21926,21926,21926,494,21926,21926
284,9735,2083,21926,21926,987,21926,1948,21926,21926
285,10546,21926,21926,21926,1023,21926,21926,21926,21926
286,2239,1123,21926,21926,21926,21926,309,21926,21926
287,2500,21926,130,731,21926,21926,21926,21926,21926
288,8953,21926,21926,21926,21926,21926,1356,21926,21926
289,6357,21926,21926,21926,21926,21926,1007,21926,21926
290,9421,21926,21926,1794,21926,21926,21926,21926,21926
291,14412,21926,21926,21926,21926,21926,21926,21926,21926
292,15139,21926,21926,2026,21926,21926,21926,21926,21926
293,3243,21926,21926,935,21926,21926,21926,225,21926
294,9842,21926,21926,21926,21926,21926,21926,21926,21926
295,8661,2070,21926,21926,21926,21926,21926,21926,21926
296,2538,1148,21926,21926,21926,21926,21926,21926,21926
297,19405,21926,21926,21926,21926,21926,21926,21926,21926
298,19369,21926,21926,21926,21926,21926,3410,21926,21926
299,2639,21926,21926,21926,21926,21926,278,21926,21926
300,4289,21926,21926,1180,21926,21926,21926,21926,21926
301,6962,21926,21926,1570,21926,21926,21926,21926,21926
302,4161,21926,139,21926,21926,21926,21926,21926,21926
303,7225,1922,21926,21926,21926,21926,21926,21926,21926
304,16681,21926,21926,21926,21926,21926,21926,21926,21926
305,8322,2040,21926,1708,21926,21926,21926,21926,21926
307,17319,2286,21926,21926,1153,21926,21926,21926,21926
308,5517,1721,21926,21926,21926,21926,21926,21926,21926
309,12624,21926,535,21926,21926,21926,21926,21926,21926
310,4021,21926,21926,21926,713,21926,1251,21926,21926
311,5731,1761,21926,21926,21926,21926,21926,21926,21926
312,6119,1875,21926,21926,897,21926,21926,21926,21926
313,3961,1472,21926,21926,21926,21926,21926,21926,21926
314,8580,21926,21926,21926,21926,21926,2318,21926,21926
315,10616,21926,599,21926,21926,21926,21926,21926,21926
316,5273,21926,189,21926,21926,21926,21926,21926,21926
317,7535,21926,21926,21926,21926,21926,21926,21926,21926
319,16971,21926,817,21926,21926,21926,21926,21926,21926
320,1900,21926,21926,699,21926,21926,21926,21926,21926
321,4039,21926,21926,1112,21926,21926,21926,21926,68
322,4951,21926,21926,1255,21926,21926,21926,21926,21926
323,10179,2129,21926,21926,21926,21926,21926,21926,21926
324,16856,21926,21926,21926,21926,21926,21926,21926,21926
327,993,21926,21926,21926,21926,21926,21926,21926,19
328,19439,21926,21926,21926,21926,21926,3450,21926,21926
329,2832,21926,21926,21926,21926,21926,292,21926,21926
330,5124,21926,21926,21926,739,21926,21926,21926,21926
332,8006,21926,21926,21926,21926,21926,21926,21926,21926
333,19167,21926,21926,2159,21926,21926,21926,21926,21926
334,21009,21926,21926,2212,21926,21926,21926,21926,21926
335,11151,21926,620,21926,21926,21926,21926,21926,21926
336,17875,21926,919,21926,21926,21926,21926,21926,21926
337,1866,21926,21926,527,21926,21926,21926,21926,21926
338,2987,1263,21926,807,21926,21926,21926,21926,21926
339,3549,21926,21926,1125,21926,21926,21926,21926,21926
340,1640,21926,21926,476,21926,21926,21926,21926,21926
342,14732,21926,636,21926,21926,21926,21926,21926,21926
343,8527,21926,21926,1709,21926,21926,21926,21926,21926
344,5104,21926,21926,1273,21926,21926,21926,21926,21926
345,11712,21926,21926,21926,21926,21926,21926,21926,21926
347,17620,21926,21926,21926,21926,21926,21926,21926,21926
348,2318,1088,21926,21926,21926,21926,21926,21926,21926
349,15200,21926,21926,2030,21926,21926,21926,21926,21926
350,5843,21926,21926,1401,21926,21926,21926,21926,21926
352,5594,21926,21926,21926,21926,21926,21926,21926,21926
353,20103,21926,21926,2169,21926,21926,21926,21926,21926
354,1063,595,21926,21926,21926,21926,21926,21926,21926
355,14491,2226,21926,21926,21926,21926,21926,21926,21926
356,20143,21926,21926,2176,21926,21926,21926,21926,21926
357,2997,21926,21926,868,21926,21926,21926,21926,21926
359,5964,21926,21926,1422,21926,21926,21926,21926,21926
360,20186,21926,21926,2172,1174,21926,21926,21926,21926
361,1477,21926,21926,430,21926,21926,21926,21926,21926
362,13743,21926,21926,21926,21926,21926,21926,21926,21926
363,6567,21926,21926,1521,21926,21926,21926,21926,21926
364,3833,1473,21926,21926,21926,21926,21926,21926,21926
365,18021,21926,21926,21926,21926,21926,21926,21926,21926
366,5500,21926,21926,1343,21926,21926,21926,21926,21926
367,20395,21926,21926,21926,21926,21926,21926,21926,21926
368,4314,21926,21926,1167,21926,21926,21926,21926,21926
369,7383,21926,21926,1598,21926,21926,21926,21926,21926
371,3060,21926,21926,835,21926,21926,21926,21926,21926
372,402,21926,21926,76,21926,21926,21926,21926,21926
373,12696,21926,21926,21926,21926,21926,21926,21926,21926
374,9352,21926,21926,21926,21926,21926,21926,21926,21926
375,19969,2307,21926,21926,21926,21926,21926,21926,21926
376,6812,1924,434,21926,21926,21926,21926,21926,21926
378,7691,1953,21926,21926,21926,21926,21926,21926,21926
379,5287,21926,21926,1364,21926,21926,21926,21926,21926
380,2959,21926,180,21926,21926,21926,21926,21926,21926
381,11388,21926,21926,21926,21926,21926,21926,21926,21926
382,2004,21926,21926,620,21926,21926,21926,21926,21926
383,9791,21926,21926,1779,21926,21926,21926,21926,21926
384,2009,21926,21926,513,358,21926,21926,21926,21926
386,20093,21926,21926,2185,21926,21926,21926,21926,21926
387,10426,2149,21926,1871,21926,21926,21926,21926,21926
388,12909,21926,21926,1960,21926,21926,21926,21926,21926
389,8205,21926,21926,21926,21926,21926,21926,21926,21926
391,19984,21926,21926,21926,21926,21926,21926,21926,21926
392,3641,21926,21926,1062,651,21926,21926,21926,21926
393,5038,21926,21926,1360,21926,21926,21926,21926,21926
394,1194,21926,95,21926,21926,21926,21926,21926,21926
396,12423,21926,21926,21926,21926,21926,21926,21926,21926
397,8125,21926,21926,21926,21926,207,21926,21926,21926
398,1706,21926,21926,479,21926,21926,21926,21926,21926
399,21535,2322,21926,21926,21926,21926,21926,21926,21926
400,19686,21926,21926,21926,21926,21926,21926,21926,21926
401,8330,21926,21926,21926,21926,21926,21926,21926,21926
403,3554,21926,21926,1034,21926,21926,21926,21926,21926
404,6514,21926,21926,1552,21926,21926,21926,21926,211
406,18170,21926,21926,21926,21926,21926,21926,21926,21926
408,18977,2292,969,21926,21926,21926,21926,21926,21926
409,20327,21926,21926,21926,21926,21926,21926,21926,21926
410,14115,21926,21926,21926,21926,21926,21926,21926,21926
412,14472,21926,21926,21926,21926,21926,21926,21926,21926
413,11657,21926,21926,21926,21926,21926,21926,21926,21926
414,8946,21926,21926,1755,21926,21926,21926,21926,21926
415,15980,21926,21926,21926,21926,21926,21926,21926,21926
416,8916,21926,21926,21926,21926,21926,21926,432,21926
417,21560,2323,21926,2280,21926,21926,21926,21926,21926
420,2695,1310,21926,21926,21926,21926,21926,21926,21926
421,216,123,21926,21926,21926,21926,21926,21926,21926
422,2806,1214,21926,21926,21926,21926,21926,21926,21926
423,1299,646,21926,21926,21926,21926,21926,21926,21926
424,1762,836,21926,21926,21926,21926,21926,21926,21926
425,10444,21926,21926,21926,21926,21926,2302,21926,21926
426,5199,21926,21926,21926,21926,21926,893,21926,21926
427,5953,21926,21926,21926,960,21926,21926,479,21926
428,10512,21926,21926,21926,21926,21926,21926,21926,21926
429,11888,2192,21926,1908,21926,21926,21926,21926,21926
430,11297,21926,21926,21926,21926,21926,21926,21926,21926
431,3509,21926,21926,979,21926,21926,21926,21926,21926
432,597,21926,21926,169,21926,21926,21926,21926,21926
433,2634,1187,21926,21926,21926,21926,21926,21926,21926
434,9585,21926,593,21926,21926,21926,21926,21926,21926
436,4473,21926,21926,1198,21926,21926,21926,21926,21926
437,2774,21926,21926,857,21926,21926,21926,21926,21926
438,1312,21926,21926,426,21926,21926,21926,21926,21926
440,6414,21926,21926,21926,21926,21926,21926,21926,21926
441,4283,1596,21926,1176,21926,21926,21926,21926,21926
442,1646,878,21926,451,21926,21926,21926,21926,21926
443,1903,21926,82,520,21926,21926,21926,21926,21926
444,3044,21926,21926,896,21926,21926,21926,21926,75
445,12815,21926,21926,21926,21926,21926,21926,21926,21926
446,13353,21926,714,21926,21926,21926,21926,21926,21926
449,7869,21926,21926,1660,21926,21926,21926,21926,21926
450,5311,21926,198,21926,21926,21926,21926,21926,21926
451,16630,21926,21926,21926,21926,21926,21926,21926,21926
452,20986,21926,21926,21926,21926,21926,21926,21926,21926
454,10126,21926,21926,21926,21926,21926,21926,21926,146
455,16283,21926,21926,2044,21926,21926,21926,21926,21926
457,13047,21926,21926,1935,21926,21926,21926,21926,21926
458,5770,21926,21926,21926,835,21926,21926,21926,21926
459,5564,1745,21926,1346,21926,21926,21926,21926,21926
460,4749,1664,21926,1250,21926,21926,21926,21926,21926
461,8171,2020,21926,1673,21926,21926,21926,21926,21926
462,18082,21926,21926,21926,21926,21926,21926,21926,21926
463,155,21926,21926,21926,21926,20,21926,21926,21926
464,2786,21926,83,765,21926,21926,21926,21926,21926
465,13296,21926,21926,21926,21926,21926,21926,21926,21926
466,1802,21926,21926,525,21926,21926,21926,21926,21926
469,11902,21926,21926,21926,21926,21926,21926,21926,203
470,8411,2075,21926,21926,996,21926,21926,21926,21926
471,18802,21926,21926,21926,21926,21926,21926,21926,21926
472,1741,21926,21926,21926,378,21926,21926,21926,21926
473,6235,21926,21926,21926,21926,21926,21926,21926,21926
474,9277,2104,21926,21926,21926,21926,21926,21926,21926
475,486,295,21926,21926,21926,21926,21926,21926,21926
476,6216,1845,21926,21926,21926,21926,21926,21926,21926
477,9851,21926,21926,21926,21926,21926,21926,21926,21926
478,428,339,21926,113,21926,21926,21926,21926,21926
479,12785,21926,21926,21926,21926,21926,21926,21926,21926
481,1281,726,21926,21926,21926,21926,21926,21926,21926
482,17802,21926,21926,21926,21926,21926,21926,21926,21926
483,650,489,21926,21926,21926,21926,257,21926,21926
484,9251,21926,21926,21926,21926,202,21926,21926,21926
485,7533,21926,21926,1682,21926,21926,21926,21926,21926
486,14091,21926,21926,21926,21926,21926,21926,21926,303
487,10870,21926,635,21926,21926,21926,2835,21926,21926
488,14677,21926,21926,21926,21926,21926,21926,21926,21926
489,11698,21926,21926,21926,21926,21926,21926,21926,21926
490,6081,21926,21926,21926,21926,21926,1283,21926,21926
491,789,431,21926,165,21926,21926,21926,21926,21926
492,1249,686,21926,320,21926,21926,21926,21926,21926
494,1447,21926,21926,423,21926,21926,21926,21926,21926
495,16228,21926,21926,21926,21926,21926,21926,21926,21926
496,19891,21926,21926,21926,21926,21926,21926,21926,21926
497,7119,21926,21926,1592,21926,21926,21926,21926,21926
499,5682,21926,21926,1390,21926,21926,21926,338,21926
500,15277,21926,21926,21926,21926,21926,21926,21926,21926
501,14709,21926,21926,21926,21926,21926,21926,21926,278
503,522,345,22,21926,21926,21926,21926,21926,21926
504,11048,21926,21926,21926,21926,21926,21926,21926,21926
505,15229,21926,21926,21926,21926,21926,21926,21926,21926
506,8468,21926,21926,1750,21926,21926,21926,21926,21926
507,6412,1869,21926,1476,21926,21926,21926,21926,21926
508,2547,21926,21926,21926,21926,21926,315,21926,21926
509,9835,21926,21926,1828,21926,21926,21926,21926,21926
510,14382,21926,21926,21926,21926,21926,21926,21926,21926
511,2082,976,21926,21926,21926,21926,21926,21926,21926
512,13605,21926,21926,21926,21926,21926,21926,21926,21926
514,6660,21926,21926,21926,21926,21926,21926,391,21926
515,5518,21926,21926,1358,21926,21926,21926,21926,21926
519,14741,21926,21926,21926,21926,21926,21926,21926,21926
520,2433,21926,21926,21926,21926,21926,716,21926,21926
521,65,21926,21926,5,21926,21926,21926,21926,21926
524,16999,21926,21926,2067,21926,21926,21926,21926,21926
525,10110,21926,21926,21926,21926,21926,21926,21926,21926
526,1721,21926,162,21926,21926,21926,21926,21926,21926
527,1060,21926,34,21926,21926,21926,21926,21926,21926
528,717,21926,19,21926,21926,21926,21926,21926,21926
529,15685,21926,21926,21926,21926,21926,21926,21926,21926
530,15151,21926,21926,21926,21926,21926,21926,21926,21926
531,2200,1047,21926,21926,21926,21926,21926,21926,21926
533,14951,21926,21926,2068,21926,21926,21926,21926,424
534,4702,1693,21926,1234,21926,21926,21926,21926,21926
535,19138,2297,21926,2150,21926,21926,21926,21926,21926
536,6870,21926,21926,21926,21926,21926,21926,21926,21926
538,8972,21926,21926,21926,21926,21926,21926,21926,21926
539,4651,1635,21926,1228,21926,21926,21926,21926,21926
540,7410,21926,316,21926,21926,21926,21926,21926,21926
541,3341,21926,21926,875,21926,21926,21926,21926,21926
542,17673,21926,21926,21926,21926,21926,21926,532,21926
545,3125,21926,21926,21926,21926,21926,21926,174,21926
548,4080,21926,21926,21926,21926,21926,1074,21926,21926
549,7357,21926,21926,21926,21926,21926,1103,21926,21926
550,3330,21926,21926,964,21926,21926,21926,229,21926
551,942,21926,21926,21926,21926,21926,172,21926,21926
552,738,376,21926,21926,21926,21926,21926,21926,21926
553,7844,21926,21926,21926,1063,21926,21926,542,21926
554,834,500,21926,21926,21926,21926,21926,21926,21926
555,199,141,21926,21926,21926,21926,21926,21926,21926
556,19776,21926,21926,21926,21926,21926,21926,21926,574
557,12819,21926,21926,21926,21926,21926,21926,21926,21926
558,8082,21926,21926,21926,21926,21926,21926,21926,21926
559,1910,1046,21926,610,21926,21926,21926,21926,21926
561,11768,21926,21926,21926,21926,21926,21926,21926,21926
562,5512,21926,21926,21926,21926,21926,21926,21926,21926
563,12735,21926,21926,21926,21926,21926,21926,21926,21926
