bgg_id,average_rating,total_ratings
1,7.67,5352
2,6.64,562
3,7.48,15148
4,6.6,342
5,7.44,18387
6,6.55,81
7,6.52,3341
8,6.11,201
9,6.46,1396
10,6.7,8356
11,7.1,39688
12,7.53,19619
13,7.21,106725
14,6.76,1653
15,6.98,3857
16,6.83,967
17,6.37,810
18,7.13,22755
19,6.31,1795
20,7.49,729
21,5.5,32
22,7.21,2022
23,7.13,567
24,6.63,695
25,5.93,322
26,7.1,2151
27,5.66,1340
28,6.48,4960
29,6.67,70
30,6.84,1298
31,5.36,784
32,6.05,329
34,6.65,537
36,6.41,409
37,5.81,152
38,6.16,98
39,5.3,108
40,6.75,269
41,6.93,14296
42,7.76,25960
43,6.58,371
44,6.48,1596
45,6.99,13045
46,7.18,7436
47,7.41,9022
48,6.09,717
49,6.5,5787
50,7.25,39158
51,7.07,8238
52,6.18,519
53,5.92,36
54,7.37,18401
55,4.86,90
57,6.65,410
58,6.5,1637
59,6.7,1398
60,7.08,3971
61,5.44,673
62,5.32,342
63,6.45,432
64,6.28,445
66,7.03,2472
67,6.36,374
68,7.04,493
69,6.78,48
70,6.86,2384
71,7.56,7133
72,6.69,1936
73,7.0,1729
74,5.82,17973
75,5.51,1394
76,6.4,766
77,7.66,674
78,6.84,190
79,6.33,124
82,6.74,351
83,6.39,136
84,7.54,1001
85,6.96,704
87,6.36,418
88,7.15,8954
89,6.74,456
90,6.22,589
91,8.12,4671
93,7.8,24288
94,7.21,4216
95,6.4,1025
96,6.18,573
97,6.28,1030
98,6.59,10458
99,6.69,2426
101,6.78,1097
102,6.21,895
103,7.08,3844
104,7.0,257
105,6.78,7060
106,6.94,3377
108,6.77,1365
109,6.08,389
110,6.24,1719
111,6.62,1559
112,6.87,9048
113,6.63,250
114,6.37,77
115,6.83,3582
116,6.56,19841
117,6.96,1494
118,7.54,17811
119,6.64,4745
120,6.52,5045
121,7.7,5527
122,6.46,2183
124,6.95,4590
125,6.53,2759
126,6.24,820
127,5.37,212
128,6.64,2854
130,7.05,1594
132,6.4,4390
133,6.14,149
134,5.99,555
135,5.96,781
136,5.47,84
137,5.82,1387
139,5.96,221
140,6.46,8504
141,6.38,1298
142,6.45,675
144,6.16,107
145,6.39,364
146,6.15,881
147,6.77,1086
148,5.71,135
150,7.34,9910
151,6.56,393
152,7.15,1855
153,6.5,2044
154,6.75,104
155,6.96,635
156,6.8,581
157,7.09,1778
162,6.59,2561
163,6.46,5663
164,5.43,1232
165,6.37,860
166,5.75,136
167,6.23,159
168,7.01,2875
169,6.5,1617
170,6.08,4072
171,7.25,30265
172,7.29,25376
173,6.99,7668
174,5.51,268
175,6.46,2145
176,5.84,2136
178,6.0,206
179,6.3,54
180,5.72,136
181,5.66,31342
182,6.37,693
183,6.31,132
185,5.4,699
186,5.92,187
188,7.68,15419
189,6.91,912
190,6.12,196
192,6.33,1050
193,5.7,586
194,6.3,819
195,5.48,99
196,6.96,2850
197,6.08,95
198,6.02,238
199,6.76,5180
200,6.42,1440
201,6.81,3331
202,6.38,735
204,6.95,2683
206,6.0,160
207,6.08,180
208,5.44,68
210,6.23,489
211,6.31,233
214,6.22,2634
215,7.67,13710
216,5.82,717
217,6.46,3154
218,5.82,270
219,6.17,168
220,7.17,10004
221,7.06,4958
222,6.09,1463
223,6.82,1116
224,7.12,4451
225,6.64,605
226,6.58,41
228,5.63,2580
229,6.21,1295
230,7.14,2679
231,5.73,239
232,6.86,2261
234,7.8,4851
235,6.36,1434
237,7.09,1989
239,6.73,100
240,7.29,4063
241,6.02,187
242,6.74,5467
243,8.15,3534
244,6.78,1595
246,5.0,39
247,6.35,1062
248,6.56,642
249,6.58,3485
250,6.62,382
252,6.7,152
254,7.62,1263
255,5.97,62
256,6.33,3940
257,6.2,6660
258,5.72,16402
259,6.54,543
260,5.78,202
261,6.05,273
263,6.11,376
264,6.24,665
265,6.37,2634
267,6.77,687
268,6.15,267
270,6.4,591
271,5.91,437
272,6.33,145
273,5.71,141
274,6.25,382
275,4.95,43
276,6.46,70
277,5.92,968
278,6.76,13228
279,6.22,820
280,6.77,215
281,4.72,161
282,6.02,70
283,6.91,744
284,6.3,140
285,5.84,283
286,7.1,1054
287,6.52,1719
288,7.29,72
289,6.63,223
290,5.73,681
291,5.77,171
292,5.72,149
293,6.34,1440
294,6.83,76
295,5.98,329
296,6.72,1149
297,5.27,119
298,5.17,74
299,7.3,661
300,6.1,1290
301,6.17,362
302,6.74,461
303,6.45,217
304,5.53,356
305,5.98,331
307,5.62,183
308,6.96,228
309,6.2,76
310,6.19,1438
311,6.67,264
312,5.92,960
313,7.11,381
314,6.21,202
315,5.93,224
316,6.81,311
317,6.45,209
319,5.69,57
320,6.37,27798
321,6.3,948
322,6.43,485
323,6.05,186
324,5.8,88
327,6.82,8618
328,4.91,36
329,7.23,680
330,6.5,436
332,6.31,202
333,5.53,1969
334,5.39,770
335,5.81,337
336,5.61,196
337,6.62,2629
338,6.73,866
339,6.08,3249
340,6.61,3475
342,5.9,78
343,6.25,204
344,6.61,346
345,6.98,47
347,5.62,65
348,6.73,1349
349,5.61,281
350,6.49,302
352,6.18,572
353,5.44,540
354,7.04,3136
355,5.74,168
356,5.28,205
357,6.34,1622
359,6.05,666
360,5.38,293
361,6.63,4451
362,5.78,191
363,5.93,758
364,6.42,814
365,5.58,60
366,6.37,413
367,5.33,276
368,6.17,1030
369,6.26,295
371,6.73,823
372,7.4,8516
373,6.56,52
374,6.15,177
375,5.35,140
376,5.88,771
378,6.94,115
379,6.2,635
380,6.36,1738
381,6.25,104
382,6.5,3477
383,6.42,108
384,7.25,985
386,5.53,1278
387,5.82,339
388,5.74,253
389,6.05,292
391,4.77,48
392,6.54,1111
393,6.62,413
394,6.66,8782
396,6.02,114
397,5.94,522
398,6.71,2858
399,4.24,219
400,5.33,142
401,6.45,157
403,6.15,1830
404,5.87,964
406,5.5,101
408,5.84,258
409,4.82,64
410,5.98,81
412,6.21,44
413,6.04,139
414,6.04,298
415,6.17,36
416,6.1,247
417,4.47,351
420,6.59,1588
421,7.97,4921
422,7.05,711
423,7.51,1272
424,7.43,985
425,6.16,149
426,6.56,383
427,5.97,1143
428,5.89,228
429,5.88,235
430,5.96,154
431,6.5,987
432,7.02,22522
433,6.64,1286
434,5.77,531
436,6.25,783
437,6.29,2556
438,6.56,14915
440,6.38,292
441,6.39,707
442,6.8,2254
443,6.78,1985
444,6.36,1787
445,5.79,220
446,5.69,249
449,6.15,271
450,6.73,328
451,5.89,40
452,5.08,185
454,6.18,136
455,5.67,90
457,5.87,132
458,6.19,569
459,6.87,242
460,6.7,393
461,6.32,195
462,5.52,119
463,7.63,33935
464,6.87,825
465,6.3,63
466,6.59,3154
469,6.1,129
470,6.17,259
471,5.5,121
472,6.73,2723
473,6.58,253
474,6.14,226
475,7.28,7264
476,6.61,319
477,6.41,122
478,7.13,49808
479,5.9,132
481,6.82,3475
482,5.55,408
483,7.09,12385
484,5.8,728
485,5.78,1025
486,5.71,230
487,6.01,262
488,5.99,63
489,6.15,98
490,7.71,263
491,7.33,3387
492,6.9,3135
494,6.64,4472
495,5.58,254
496,4.21,30
497,5.93,610
499,6.36,379
500,5.95,59
501,6.2,46
503,7.1,13052
504,6.07,141
505,5.7,107
506,5.88,494
507,6.98,173
508,7.12,819
509,5.69,753
510,5.68,214
511,7.1,1037
512,6.61,39
514,6.06,530
515,6.91,248
519,5.83,113
520,6.51,2490
521,8.06,13214
524,5.56,347
525,6.26,117
526,6.49,6654
527,7.09,3041
528,7.28,4026
529,6.28,30
530,5.88,78
531,6.71,1581
533,5.56,1441
534,6.4,599
535,5.53,185
536,6.46,232
538,6.44,134
539,6.38,783
540,6.31,235
541,7.46,376
542,5.53,1154
545,6.71,840
548,6.47,809
549,7.59,93
550,6.32,1440
551,7.15,3472
552,7.56,2487
553,5.72,4442
554,7.03,5151
555,7.56,14732
556,5.25,104
557,5.89,154
558,6.19,236
559,6.39,5782
561,6.17,106
562,6.42,417
563,6.25,85
564,5.46,92
565,6.14,134
566,6.28,415
568,6.16,1792
569,5.85,187
571,6.25,94
572,5.48,70
573,6.42,92
574,6.44,310
575,5.47,70
577,6.01,234
581,5.95,255
582,5.52,37
585,6.55,127
586,7.86,2183
587,6.23,31
589,6.88,1625
590,5.78,7497
592,6.76,2179
593,6.42,177
594,6.97,2774
595,5.47,163
600,5.11,60
601,5.84,52
602,6.62,248
603,5.5,95
604,5.36,46
605,5.36,162
606,5.92,271
607,5.93,825
608,6.29,309
610,4.94,68
611,6.28,45
612,5.93,158
613,5.66,74
614,6.03,622
617,5.29,31
618,6.24,261
619,6.79,3378
620,7.31,1125
621,6.55,544
622,5.28,160
623,6.94,251
624,6.69,6843
625,6.11,80
626,6.69,1129
627,6.53,62
629,5.05,162
630,7.07,38
631,7.14,1007
632,6.48,2230
633,5.56,1135
634,6.51,3376
635,6.41,1926
637,6.89,222
638,6.49,3329
639,6.86,344
642,6.11,263
643,6.25,140
644,5.69,422
645,5.81,367
646,4.64,68
647,6.43,105
648,4.41,78
649,5.98,118
650,5.95,88
651,6.46,778
652,5.71,42
653,5.45,108
655,6.1,1669
657,5.88,123
660,6.06,98
661,6.23,403
663,4.84,31
665,6.69,85
666,6.39,33
668,6.56,354
669,6.22,690
670,6.53,1212
671,6.35,222
673,6.33,212
674,5.34,100
675,5.31,79
676,4.68,31
677,4.39,698
679,6.22,198
680,5.76,342
681,6.93,6255
684,5.54,630
685,6.85,61
686,6.76,474
687,6.16,157
688,6.03,81
690,6.43,98
691,6.66,1777
692,6.75,1190
695,6.31,62
696,6.3,824
697,6.33,590
