bgg_id,subcategory
2,Card Game
5,Territory Building
9,Exploration
11,Card Game
17,Collectible Components
17,Print & Play
18,Miniatures
20,Miniatures
21,Exploration
22,Exploration
25,Exploration
28,Card Game
30,Exploration
30,Electronic
31,Exploration
31,Miniatures
38,Word Game
42,Territory Building
44,Card Game
49,Card Game
50,Exploration
50,Card Game
51,Puzzle
52,Territory Building
54,Exploration
54,Territory Building
58,Exploration
58,Territory Building
59,Exploration
60,Territory Building
64,Card Game
72,Card Game
73,Card Game
74,Card Game
75,Card Game
75,Print & Play
76,Territory Building
89,Card Game
90,Card Game
101,Card Game
102,Card Game
104,Territory Building
105,Card Game
106,Card Game
111,Territory Building
112,Card Game
113,Card Game
116,Card Game
118,Card Game
125,Card Game
128,Puzzle
132,Card Game
133,Exploration
136,Card Game
137,Word Game
137,Electronic
140,Card Game
141,Territory Building
152,Card Game
153,Card Game
154,Card Game
155,Card Game
156,Exploration
163,Word Game
164,Card Game
165,Puzzle
166,Educational
169,Card Game
170,Card Game
172,Card Game
174,Card Game
175,Card Game
176,Card Game
180,Card Game
181,Territory Building
182,Card Game
185,Print & Play
186,Card Game
190,Card Game
192,Card Game
194,Card Game
197,Card Game
198,Card Game
200,Exploration
206,Card Game
207,Card Game
208,Card Game
210,Card Game
215,Card Game
220,Card Game
221,Territory Building
222,Card Game
223,Exploration
228,Card Game
229,Card Game
230,Exploration
241,Exploration
246,Card Game
247,Card Game
248,Territory Building
250,Territory Building
258,Card Game
259,Card Game
261,Card Game
263,Card Game
264,Card Game
271,Card Game
273,Exploration
274,Card Game
277,Card Game
278,Territory Building
278,Card Game
279,Card Game
287,Puzzle
289,Territory Building
290,Card Game
292,Card Game
299,Miniatures
301,Card Game
303,Card Game
304,Card Game
309,Card Game
312,Card Game
320,Word Game
323,Territory Building
327,Electronic
328,Card Game
333,Card Game
337,Card Game
338,Card Game
339,Card Game
339,Word Game
340,Card Game
343,Card Game
344,Card Game
349,Card Game
350,Card Game
352,Card Game
353,Card Game
354,Card Game
355,Territory Building
359,Card Game
360,Card Game
363,Card Game
365,Card Game
367,Card Game
368,Card Game
369,Card Game
369,Puzzle
371,Card Game
372,Card Game
373,Card Game
376,Card Game
379,Card Game
381,Card Game
387,Card Game
388,Card Game
391,Card Game
392,Card Game
396,Card Game
397,Collectible Components
398,Card Game
408,Card Game
409,Card Game
412,Card Game
415,Card Game
416,Word Game
427,Card Game
430,Card Game
431,Card Game
432,Card Game
434,Card Game
436,Card Game
437,Puzzle
443,Puzzle
451,Card Game
452,Card Game
457,Card Game
458,Card Game
463,Card Game
463,Collectible Components
472,Exploration
473,Card Game
476,Card Game
478,Card Game
479,Card Game
481,Territory Building
484,Collectible Components
485,Card Game
488,Card Game
489,Card Game
490,Print & Play
491,Territory Building
496,Card Game
497,Card Game
506,Card Game
506,Print & Play
509,Card Game
510,Exploration
524,Card Game
525,Card Game
533,Card Game
535,Card Game
542,Card Game
549,Miniatures
550,Word Game
553,Card Game
554,Territory Building
556,Card Game
557,Puzzle
563,Card Game
565,Card Game
568,Card Game
572,Miniatures
574,Card Game
575,Card Game
586,Card Game
590,Card Game
592,Card Game
594,Card Game
595,Word Game
601,Word Game
602,Card Game
605,Card Game
606,Card Game
607,Card Game
610,Card Game
614,Puzzle
617,Card Game
618,Card Game
618,Collectible Components
619,Card Game
621,Word Game
622,Card Game
629,Puzzle
630,Word Game
631,Card Game
632,Card Game
633,Card Game
635,Card Game
637,Card Game
638,Card Game
643,Collectible Components
644,Card Game
646,Card Game
647,Card Game
650,Miniatures
651,Card Game
653,Card Game
655,Card Game
657,Card Game
660,Card Game
661,Card Game
663,Card Game
665,Electronic
666,Card Game
669,Card Game
676,Card Game
684,Card Game
685,Card Game
686,Card Game
696,Card Game
698,Card Game
699,Exploration
700,Miniatures
712,Miniatures
713,Card Game
714,Exploration
718,Card Game
721,Exploration
721,Educational
756,Card Game
760,Card Game
761,Card Game
764,Word Game
769,Collectible Components
770,Card Game
775,Card Game
783,Card Game
783,Word Game
791,Card Game
794,Card Game
794,Word Game
799,Miniatures
811,Card Game
814,Card Game
815,Card Game
815,Educational
819,Card Game
822,Territory Building
829,Card Game
834,Card Game
834,Educational
840,Card Game
841,Card Game
844,Card Game
853,Card Game
857,Card Game
858,Card Game
859,Card Game
861,Miniatures
864,Miniatures
864,Collectible Components
877,Puzzle
878,Card Game
883,Card Game
891,Puzzle
891,Word Game
899,Card Game
902,Card Game
914,Print & Play
917,Card Game
917,Puzzle
923,Card Game
927,Card Game
928,Card Game
929,Card Game
930,Card Game
938,Card Game
939,Miniatures
941,Puzzle
942,Card Game
943,Card Game
944,Card Game
947,Card Game
950,Card Game
955,Card Game
957,Card Game
979,Card Game
980,Card Game
983,Puzzle
986,Card Game
999,Card Game
1002,Card Game
1011,Card Game
1027,Card Game
1037,Card Game
1037,Collectible Components
1038,Puzzle
1042,Card Game
1047,Print & Play
1056,Card Game
1063,Card Game
1066,Territory Building
1073,Exploration
1084,Puzzle
1087,Card Game
1090,Card Game
1091,Card Game
1093,Card Game
1094,Card Game
1095,Card Game
1098,Miniatures
1105,Card Game
1107,Card Game
1109,Card Game
1110,Card Game
1111,Word Game
1115,Card Game
1116,Card Game
1117,Card Game
1122,Card Game
1126,Card Game
1127,Card Game
1136,Exploration
1138,Print & Play
1143,Territory Building
1144,Exploration
1145,Exploration
1146,Exploration
1148,Puzzle
1149,Exploration
1149,Miniatures
1150,Miniatures
1152,Exploration
1157,Print & Play
1161,Word Game
1171,Card Game
1171,Puzzle
1178,Exploration
1184,Exploration
1188,Card Game
1191,Card Game
1197,Card Game
1198,Card Game
1198,Puzzle
1199,Card Game
1199,Puzzle
1202,Exploration
1202,Card Game
1203,Card Game
1206,Card Game
1212,Card Game
1213,Card Game
1215,Card Game
1216,Card Game
1216,Educational
1217,Puzzle
1219,Puzzle
1221,Puzzle
1233,Word Game
1234,Card Game
1240,Card Game
1240,Educational
1240,Puzzle
1246,Educational
1247,Card Game
1249,Exploration
1250,Card Game
1251,Exploration
1253,Card Game
1256,Card Game
1257,Card Game
1257,Print & Play
1258,Card Game
1259,Card Game
1260,Card Game
1263,Card Game
1264,Card Game
1265,Card Game
1269,Card Game
1270,Card Game
1270,Collectible Components
1271,Card Game
1274,Word Game
1288,Word Game
1293,Word Game
1301,Card Game
1301,Collectible Components
1304,Card Game
1305,Exploration
1305,Card Game
1307,Puzzle
1308,Puzzle
1310,Card Game
1315,Exploration
1317,Card Game
1318,Exploration
1319,Card Game
1320,Card Game
1321,Card Game
1321,Puzzle
1324,Card Game
1325,Card Game
1330,Card Game
1333,Card Game
1334,Exploration
1339,Exploration
1341,Card Game
1343,Exploration
1348,Exploration
1352,Card Game
1354,Card Game
1364,Card Game
1367,Card Game
1368,Puzzle
1370,Exploration
1372,Card Game
1376,Card Game
1377,Card Game
1378,Exploration
1379,Card Game
1381,Card Game
1385,Card Game
1400,Exploration
1403,Card Game
1404,Card Game
1412,Card Game
1413,Card Game
1415,Card Game
1417,Card Game
1422,Exploration
1426,Exploration
1428,Card Game
1443,Card Game
1443,Word Game
1445,Card Game
1446,Card Game
1448,Card Game
1452,Card Game
1453,Card Game
1460,Card Game
1463,Card Game
1464,Card Game
1465,Card Game
1467,Card Game
1470,Card Game
1472,Card Game
1474,Card Game
1488,Card Game
1489,Print & Play
1497,Card Game
1497,Collectible Components
1506,Exploration
1508,Miniatures
1510,Educational
1511,Exploration
1515,Word Game
1517,Exploration
1517,Card Game
1517,Collectible Components
1519,Card Game
1519,Collectible Components
1520,Card Game
1524,Card Game
1524,Print & Play
