bgg_id,theme
1,"Economic, Political"
2,Fantasy
3,"Medieval, Theme_Samurai"
4,Ancient
5,Economic
6,"Civilization, Nautical"
8,"Fantasy, Civilization"
10,"Fantasy, Travel"
11,Farming
12,"Mythology, Ancient"
13,Economic
15,Science Fiction
16,Economic
17,Fighting
18,"Science Fiction, Racing, Maze, Theme_Robots"
19,"American West, City Building"
20,Science Fiction
21,"Science Fiction, Civilization"
22,"Adventure, Fantasy, Fighting, Theme_Weather"
23,"Fantasy, Political"
24,"Science Fiction, Space Exploration, Civilization, Political"
25,Fantasy
26,"Economic, Civilization, Renaissance, Medieval"
27,"Economic, Modern Warfare, Political, Theme_Nuclear option"
28,"Science Fiction, Humor, Political"
29,"Fighting, Humor"
30,"Adventure, Fantasy, Fighting"
31,"Adventure, Fantasy, Fighting"
32,American West
34,"Adventure, Novel-based, Horror, Theme_Cthulhu Mythos"
36,Science Fiction
37,Fantasy
39,"Fantasy, Novel-based, Theme_Psychic Powers"
40,"Fantasy, Civilization, Political"
42,"Civilization, Ancient"
43,"Economic, Aviation / Flight"
45,Movies / TV / Radio theme
46,Renaissance
47,"Economic, City Building"
48,"Medieval, Political"
49,Theme_Food / Cooking
50,Theme_Archaeology / Paleontology
51,"Maze, Theme_Robots"
52,Fantasy
53,Economic
54,Theme_Archaeology / Paleontology
55,"Novel-based, Trivia"
57,Economic
58,"Fantasy, Humor, Theme_Deserts"
59,"Economic, Industry / Manufacturing, Theme_Oil / Gas / Petroleu"
60,"Civilization, Ancient"
61,Ancient
62,"Adventure, Ancient, Horror"
63,"Medieval, Political"
64,"Medieval, Political"
66,"Medieval, Political"
67,Ancient
68,Ancient
70,City Building
71,"Economic, Civilization, Ancient"
72,Political
74,Humor
75,Fantasy
76,"Economic, Aviation / Flight"
77,World War II
78,World War II
79,World War II
82,American Civil War
83,American Civil War
84,"World War II, Theme_Deserts"
85,Age of Reason
87,World War II
88,Medieval
89,American Civil War
90,"Science Fiction, Movies / TV / Radio theme"
91,World War I
93,"Renaissance, Medieval"
94,"Economic, Trains"
95,Animals
96,"Nautical, Pirates"
97,"Economic, Ancient"
98,"Economic, World War II"
99,"Science Fiction, Theme_Alternate History"
101,Racing
103,Fantasy
105,"Fantasy, Mythology"
106,Murder/Mystery
109,City Building
110,"Economic, Transportation, Movies / TV / Radio theme, Theme_Trucks"
111,Medieval
112,Medieval
114,"Economic, City Building"
116,Humor
118,"Economic, Theme_Art"
119,"Fantasy, Medieval"
121,"Fighting, Science Fiction, Novel-based, Political, Theme_Deserts"
122,"Ancient, Political"
124,"Prehistoric, Theme_Bacteria"
126,"Animals, Racing, Sports"
127,Science Fiction
130,"Fantasy, Transportation, Trains"
132,Ancient
133,"Horror, Theme_Cannibals / Cannibalis"
134,"Nautical, Racing"
135,"Renaissance, Nautical, City Building"
139,"Fantasy, Medieval"
140,Economic
141,"Science Fiction, Space Exploration"
142,Economic
145,City Building
146,Economic
147,"Economic, Industry / Manufacturing, Theme_Oil / Gas / Petroleu"
148,Medieval
150,"Racing, Sports"
151,Pirates
154,"Economic, Transportation, American West, Trains"
156,"Transportation, Animals, Theme_Safaris"
