bgg_id,avg_rating
1,7.67
2,6.64
3,7.48
4,6.6
5,7.44
6,6.55
7,6.52
8,6.11
9,6.46
10,6.7
11,7.1
12,7.53
13,7.21
14,6.76
15,6.98
16,6.83
17,6.37
18,7.13
19,6.31
20,7.49
21,5.5
22,7.21
23,7.13
24,6.63
25,5.93
26,7.1
27,5.66
28,6.48
29,6.67
30,6.84
31,5.36
32,6.05
34,6.65
36,6.41
37,5.81
38,6.16
39,5.3
40,6.75
41,6.93
42,7.76
43,6.58
44,6.48
45,6.99
46,7.18
47,7.41
48,6.09
49,6.5
50,7.25
51,7.07
52,6.18
53,5.92
54,7.37
55,4.86
57,6.65
58,6.5
59,6.7
60,7.08
61,5.44
62,5.32
63,6.45
64,6.28
66,7.03
67,6.36
68,7.04
69,6.78
70,6.86
71,7.56
72,6.69
73,7.0
74,5.82
75,5.51
76,6.4
77,7.66
78,6.84
79,6.33
82,6.74
83,6.39
84,7.54
85,6.96
87,6.36
88,7.15
89,6.74
90,6.22
91,8.12
93,7.8
94,7.21
95,6.4
96,6.18
97,6.28
98,6.59
99,6.69
101,6.78
102,6.21
103,7.07
104,7.0
105,6.78
106,6.94
108,6.77
109,6.08
110,6.24
111,6.62
112,6.87
113,6.63
114,6.37
115,6.83
116,6.56
117,6.96
118,7.54
119,6.64
120,6.52
121,7.7
122,6.46
124,6.95
125,6.53
126,6.25
127,5.37
128,6.64
130,7.05
132,6.4
133,6.14
134,5.99
135,5.96
136,5.47
137,5.82
139,5.96
140,6.46
141,6.38
142,6.45
144,6.16
145,6.39
146,6.15
147,6.77
148,5.71
150,7.34
151,6.56
152,7.15
153,6.5
154,6.75
155,6.96
156,6.8
157,7.09
162,6.59
163,6.46
164,5.43
165,6.37
166,5.75
167,6.23
168,7.01
169,6.5
170,6.08
171,7.25
172,7.29
173,6.99
174,5.51
175,6.46
176,5.84
178,6.0
179,6.3
180,5.72
181,5.66
182,6.37
183,6.31
185,5.4
186,5.92
188,7.68
