Board Game Rank,Title,URL,Geek Rating,Avg Rating,Num Voters
26103,Pop-Up Pirate!,https://boardgamegeek.com/boardgame/9004/pop-pirate,5.284,4.59,595
26104,Hengist,https://boardgamegeek.com/boardgame/182875/hengist,5.282,4.78,755
26105,Mad Gab,https://boardgamegeek.com/boardgame/764/mad-gab,5.279,5.05,1603
26106,Thermopyles,https://boardgamegeek.com/boardgame/141019/thermopyles,5.276,3.92,340
26107,Buckaroo!,https://boardgamegeek.com/boardgame/8392/buckaroo,5.272,4.56,602
26108,Assassin,https://boardgamegeek.com/boardgame/1094/assassin,5.269,3.55,269
26109,Tenzi,https://boardgamegeek.com/boardgame/113819/tenzi,5.269,4.97,1258
26110,Quelf,https://boardgamegeek.com/boardgame/19370/quelf,5.268,5.23,2891
26111,A Question of Scruples,https://boardgamegeek.com/boardgame/1748/question-scruples,5.268,4.77,810
26112,Urban Myth,https://boardgamegeek.com/boardgame/7601/urban-myth,5.267,3.41,256
26113,The Game of Life (40th Anniversary Edition),https://boardgamegeek.com/boardgame/23964/game-life-40th-anniversary-edition,5.266,4.56,603
26114,The Lord of the Rings: The Fellowship of the Ring,https://boardgamegeek.com/boardgame/4724/lord-rings-fellowship-ring,5.265,3.32,242
26115,Mouse Trap,https://boardgamegeek.com/boardgame/24985/mouse-trap,5.264,4.27,468
26116,Snap,https://boardgamegeek.com/boardgame/17003/snap,5.260,3.47,268
26117,Outdoor Survival,https://boardgamegeek.com/boardgame/1511/outdoor-survival,5.260,4.88,1026
26118,Lotto,https://boardgamegeek.com/boardgame/11028/lotto,5.251,3.75,325
26119,Lost: The Game,https://boardgamegeek.com/boardgame/24959/lost-game,5.249,3.59,325
26120,The Hobbit: The Defeat of Smaug,https://boardgamegeek.com/boardgame/2456/hobbit-defeat-smaug,5.243,4.85,1252
26121,Jacks,https://boardgamegeek.com/boardgame/15393/jacks,5.240,3.77,354
26122,The Mad Magazine Game,https://boardgamegeek.com/boardgame/1604/mad-magazine-game,5.239,5.00,1589
26123,Aggravation,https://boardgamegeek.com/boardgame/2272/aggravation,5.236,4.90,1283
26124,DOS,https://boardgamegeek.com/boardgame/246701/dos,5.233,4.92,1309
26125,Slap Jack,https://boardgamegeek.com/boardgame/18905/slap-jack,5.227,3.33,283
26126,What Do You Meme?,https://boardgamegeek.com/boardgame/226610/what-do-you-meme,5.225,5.10,2894
26127,Trivial Pursuit: Genus Edition,https://boardgamegeek.com/boardgame/2952/trivial-pursuit-genus-edition,5.223,5.24,8093
26128,Man Bites Dog,https://boardgamegeek.com/boardgame/4035/man-bites-dog,5.223,4.60,887
26129,Chinese Checkers,https://boardgamegeek.com/boardgame/2386/chinese-checkers,5.221,5.18,5004
26130,Coaster Park,https://boardgamegeek.com/boardgame/232895/coaster-park,5.219,3.58,343
26131,Alien: USCSS Nostromo,https://boardgamegeek.com/boardgame/276022/alien-uscss-nostromo,5.217,1.26,264
26132,Trump: The Game,https://boardgamegeek.com/boardgame/1824/trump-game,5.209,4.35,744
26133,Who Wants to Be a Millionaire,https://boardgamegeek.com/boardgame/4077/who-wants-to-be-a-millionaire,5.198,4.60,1027
26134,Don't Break the Ice,https://boardgamegeek.com/boardgame/4888/dont-break-ice,5.195,4.78,1385
26135,Go For Broke,https://boardgamegeek.com/boardgame/3343/go-broke,5.184,4.79,1429
26136,Would You Rather...?,https://boardgamegeek.com/boardgame/677/would-you-rather,5.184,4.37,752
26137,Let's Go Fishin',https://boardgamegeek.com/boardgame/13166/lets-go-fishin,5.176,4.35,741
26138,Monopoly: Star Wars,https://boardgamegeek.com/boardgame/1298/monopoly-star-wars,5.175,4.94,1905
26139,Labyrinth,https://boardgamegeek.com/boardgame/6546/labyrinth,5.171,4.66,1238
26140,6: Siege – The Board Game,https://boardgamegeek.com/boardgame/338067/6-siege-board-game,5.170,3.71,584
26141,The Ungame,https://boardgamegeek.com/boardgame/6283/ungame,5.168,3.11,327
26142,Bunco,https://boardgamegeek.com/boardgame/8689/bunco,5.162,3.15,338
26143,Phase 10,https://boardgamegeek.com/boardgame/1258/phase-10,5.158,5.21,10312
26144,Ker Plunk,https://boardgamegeek.com/boardgame/3728/ker-plunk,5.152,4.77,1663
26145,Dirty Minds: The Game of Naughty Clues,https://boardgamegeek.com/boardgame/2956/dirty-minds-game-naughty-clues,5.150,4.03,639
26146,MindTrap,https://boardgamegeek.com/boardgame/1923/mindtrap,5.145,4.77,1897
26147,Afrikan tähti,https://boardgamegeek.com/boardgame/5130/afrikan-tahti,5.129,4.70,1512
26148,Tiddledy Winks,https://boardgamegeek.com/boardgame/4792/tiddledy-winks,5.119,4.02,698
26149,In a Pickle,https://boardgamegeek.com/boardgame/12205/pickle,5.111,4.66,1554
26150,Solitaire,https://boardgamegeek.com/boardgame/13713/solitaire,5.100,4.46,1174
26151,Crazy Eights,https://boardgamegeek.com/boardgame/11017/crazy-eights,5.087,4.42,1185
26152,Fact or Crap,https://boardgamegeek.com/boardgame/3990/fact-or-crap,5.081,3.83,696
26153,Simon,https://boardgamegeek.com/boardgame/5749/simon,5.079,4.40,1221
26154,Blackjack,https://boardgamegeek.com/boardgame/10816/blackjack,5.075,4.75,1986
26155,Pay Day,https://boardgamegeek.com/boardgame/1797/pay-day,5.069,4.87,3069
26156,Perfection,https://boardgamegeek.com/boardgame/5588/perfection,5.048,4.40,1305
26157,Hangman,https://boardgamegeek.com/boardgame/5314/hangman,5.037,4.22,1101
26158,Memory,https://boardgamegeek.com/boardgame/7688/memory,5.034,4.77,3085
26159,Top Trumps,https://boardgamegeek.com/boardgame/7262/top-trumps,5.023,4.27,1160
26160,Jumanji,https://boardgamegeek.com/boardgame/1751/jumanji,5.020,4.44,1455
26161,Connect Four,https://boardgamegeek.com/boardgame/2719/connect-four,5.009,4.96,9051
26162,Anti-Monopoly,https://boardgamegeek.com/boardgame/1931/anti-monopoly,5.006,3.71,808
26163,The Worst-Case Scenario Survival Game,https://boardgamegeek.com/boardgame/5050/worst-case-scenario-survival-game,4.991,3.36,646
26164,Checkers,https://boardgamegeek.com/boardgame/2083/checkers,4.988,4.93,8727
26165,Guess Who?,https://boardgamegeek.com/boardgame/4143/guess-who,4.942,4.83,6373
26166,Monopoly Junior,https://boardgamegeek.com/boardgame/5339/monopoly-junior,4.920,4.32,1867
26167,Barrel of Monkeys,https://boardgamegeek.com/boardgame/4149/barrel-monkeys,4.900,3.57,879
26168,Roulette,https://boardgamegeek.com/boardgame/15549/roulette,4.836,3.37,888
26169,Game of Goose,https://boardgamegeek.com/boardgame/2785/game-of-goose,4.818,3.50,1009
26170,Pick Up Sticks,https://boardgamegeek.com/boardgame/6424/pick-up-sticks,4.794,4.33,2821
26171,Battle of the Sexes,https://boardgamegeek.com/boardgame/3510/battle-of-the-sexes,4.783,3.50,1163
26172,Twister,https://boardgamegeek.com/boardgame/5894/twister,4.780,4.55,5018
26173,Hi Ho! Cherry-O,https://boardgamegeek.com/boardgame/6932/hi-ho-cherry-o,4.769,3.61,1232
26174,Cootie,https://boardgamegeek.com/boardgame/4378/cootie,4.759,3.39,1052
26175,Battleship,https://boardgamegeek.com/boardgame/2425/battleship,4.759,4.71,10802
26176,Pachisi,https://boardgamegeek.com/boardgame/2136/pachisi,4.705,4.51,5566
26177,Hungry Hungry Hippos,https://boardgamegeek.com/boardgame/5895/hungry-hungry-hippos,4.680,4.13,2910
26178,Sorry!,https://boardgamegeek.com/boardgame/2407/sorry,4.680,4.54,6928
26179,The Oregon Trail Card Game,https://boardgamegeek.com/boardgame/205322/oregon-trail-card-game,4.631,4.21,3584
26180,Old Maid,https://boardgamegeek.com/boardgame/10799/old-maid,4.631,3.68,1770
26181,Mouse Trap,https://boardgamegeek.com/boardgame/2679/mouse-trap,4.630,4.13,3200
26182,Go Fish,https://boardgamegeek.com/boardgame/7682/go-fish,4.608,3.66,1847
26183,Operation,https://boardgamegeek.com/boardgame/3737/operation,4.540,4.15,4465
26184,LCR,https://boardgamegeek.com/boardgame/3522/lcr,4.485,3.64,2287
26185,The Game of Life,https://boardgamegeek.com/boardgame/2921/game-of-life,4.357,4.34,13014
26186,Trouble,https://boardgamegeek.com/boardgame/1410/trouble,4.333,3.84,4110
26187,Monopoly,https://boardgamegeek.com/boardgame/1406/monopoly,4.287,4.36,35733
26188,War,https://boardgamegeek.com/boardgame/16398/war,4.055,2.37,1671
26189,Bingo,https://boardgamegeek.com/boardgame/7316/bingo,4.052,2.99,2673
26190,Candy Land,https://boardgamegeek.com/boardgame/5048/candy-land,3.838,3.20,4864
26191,Chutes and Ladders,https://boardgamegeek.com/boardgame/5432/chutes-and-ladders,3.662,2.91,4679
26192,Tic-Tac-Toe,https://boardgamegeek.com/boardgame/11901/tic-tac-toe,3.648,2.74,3930
N/A,The Garden Game,https://boardgamegeek.com/boardgame/65/garden-game,N/A,4.16,28
N/A,VolgaFront: East of EastFront 1942-43,https://boardgamegeek.com/boardgameexpansion/80/volgafront-east-eastfront-1942-43,5.563,7.58,69
N/A,"EuroFront: War in Europe, 1939-45",https://boardgamegeek.com/boardgameexpansion/81/eurofront-war-europe-1939-45,5.564,7.08,96
N/A,Peaceful Resistance,https://boardgamegeek.com/boardgame/107/peaceful-resistance,N/A,5.72,17
N/A,Green Thumb Cards,https://boardgamegeek.com/boardgame/123/green-thumb-cards,N/A,7.31,29
N/A,Wortelboer,https://boardgamegeek.com/boardgame/143/wortelboer,N/A,4.19,16
N/A,Elfengold,https://boardgamegeek.com/boardgameexpansion/158/elfengold,5.851,6.94,660
N/A,Advanced Civilization,https://boardgamegeek.com/boardgameexpansion/177/advanced-civilization,6.992,8.01,3350
N/A,Skworms,https://boardgamegeek.com/boardgame/203/skworms,N/A,4.00,7
N/A,Knightmare Chess,https://boardgamegeek.com/boardgameexpansion/227/knightmare-chess,5.859,6.44,1386
N/A,Die Siedler von Catan: Historische Szenarien,https://boardgamegeek.com/boardgameexpansion/306/die-siedler-von-catan-historische-szenarien,5.837,6.51,1079
N/A,Looney Leo,https://boardgamegeek.com/boardgame/318/looney-leo,N/A,8.00,1
N/A,CATAN: Seafarers,https://boardgamegeek.com/boardgameexpansion/325/catan-seafarers,6.912,7.15,19441
N/A,El Grande: König & Intrigant,https://boardgamegeek.com/boardgameexpansion/370/el-grande-konig-intrigant,5.971,7.43,675
N/A,Neighbors,https://boardgamegeek.com/boardgame/377/neighbors,N/A,1.80,5
N/A,Bohnanza: La Isla Bohnitâ,https://boardgamegeek.com/boardgameexpansion/453/bohnanza-la-isla-bohnita,5.593,5.85,761
N/A,Bohnanza Erweiterungs-Set,https://boardgamegeek.com/boardgameexpansion/467/bohnanza-erweiterungs-set,5.948,7.04,866
N/A,Dump,https://boardgamegeek.com/boardgame/468/dump,N/A,5.50,2
N/A,Age of Arguments,https://boardgamegeek.com/boardgame/480/age-arguments,N/A,5.57,14
N/A,Sufferin' Spirits,https://boardgamegeek.com/boardgame/498/sufferin-spirits,N/A,5.70,22
N/A,Bretonenboule,https://boardgamegeek.com/boardgame/502/bretonenboule,N/A,6.65,17
N/A,Shark Bait,https://boardgamegeek.com/boardgame/517/shark-bait,N/A,5.14,7
N/A,Cat vs. Mouse,https://boardgamegeek.com/boardgame/518/cat-vs-mouse,N/A,6.14,7
N/A,Ice Blocks,https://boardgamegeek.com/boardgame/537/ice-blocks,N/A,5.13,15
N/A,Quartier Latin,https://boardgamegeek.com/boardgame/567/quartier-latin,N/A,5.50,18
N/A,Terrain Game,https://boardgamegeek.com/boardgame/570/terrain-game,N/A,5.31,16
N/A,Illuminati: Y2K,https://boardgamegeek.com/boardgameexpansion/576/illuminati-y2k,5.803,7.00,619
N/A,Protzen,https://boardgamegeek.com/boardgame/578/protzen,N/A,4.43,20
N/A,Field of Fire,https://boardgamegeek.com/boardgame/579/field-fire,N/A,5.50,2
N/A,The El Grande Expansions,https://boardgamegeek.com/boardgameexpansion/583/el-grande-expansions,5.915,7.35,617
N/A,Sumera,https://boardgamegeek.com/boardgame/587/sumera,N/A,6.24,29
N/A,Trolley Car,https://boardgamegeek.com/boardgame/596/trolley-car,N/A,6.03,7
N/A,El Grande: Grandissimo,https://boardgamegeek.com/boardgameexpansion/597/el-grande-grandissimo,5.693,6.92,327
N/A,Stack 21,https://boardgamegeek.com/boardgame/599/stack-21,N/A,3.60,10
